week_start	sub-0/sub-0_ses-20230620T110854_behavior.nwb	sub-0/sub-0_ses-20231031T135510_behavior.nwb	sub-1/sub-1_ses-20230614T163157_behavior.nwb	sub-1/sub-1_ses-20231031T135558_behavior.nwb	sub-10/sub-10_ses-20230620T111637_behavior.nwb	sub-10/sub-10_ses-20240503T190631_behavior.nwb	sub-11/sub-11_ses-20230620T111855_behavior.nwb	sub-11/sub-11_ses-20240522T002407_behavior.nwb	sub-12/sub-12_ses-20230614T171042_behavior.nwb	sub-13/sub-13_ses-20230615T105805_behavior.nwb	sub-14/sub-14_ses-20230614T161558_behavior.nwb	sub-15/sub-15_ses-20230620T111927_behavior.nwb	sub-16/sub-16_ses-20230725T175146_behavior.nwb	sub-17/sub-17_ses-20230725T175210_behavior.nwb	sub-18/sub-18_ses-20230725T175221_behavior.nwb	sub-19/sub-19_ses-20230725T175242_behavior.nwb	sub-2/sub-2_ses-20230615T105722_behavior.nwb	sub-2/sub-2_ses-20231031T154756_behavior.nwb	sub-20/sub-20_ses-20230725T175523_behavior.nwb	sub-21/sub-21_ses-20230725T175536_behavior.nwb	sub-22/sub-22_ses-20230725T175547_behavior.nwb	sub-23/sub-23_ses-20230725T175602_behavior.nwb	sub-24/sub-24_ses-20230725T175621_behavior.nwb	sub-3/sub-3_ses-20230615T105740_behavior.nwb	sub-3/sub-3_ses-20231031T154851_behavior.nwb	sub-4/sub-4_ses-20230620T111609_behavior.nwb	sub-4/sub-4_ses-20231031T155000_behavior.nwb	sub-5/sub-5_ses-20230620T112123_behavior.nwb	sub-5/sub-5_ses-20231031T155836_behavior.nwb	sub-6/sub-6_ses-20230614T161531_behavior.nwb	sub-6/sub-6_ses-20240521T130712_behavior.nwb	sub-7/sub-7_ses-20230614T161540_behavior.nwb	sub-7/sub-7_ses-20240521T143306_behavior.nwb	sub-8/sub-8_ses-20230615T105749_behavior.nwb	sub-8/sub-8_ses-20240521T163107_behavior.nwb	sub-9/sub-9_ses-20230615T105755_behavior.nwb	sub-9/sub-9_ses-20240503T171307_behavior.nwb
2025-08-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26951088	0	0	0	0	0	0	0	0	0	63021400	0	0	0	0	0	0	78361056	0	0	0	0
2025-09-01	0	0	0	0	0	52428800	0	0	0	0	0	52168904	0	0	0	0	576716800	0	0	0	0	20491336	0	0	0	0	0	0	0	125604440	0	0	0	0	0	0	0
2025-09-08	0	0	52428800	0	0	0	9562568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	19837432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	1023839136	0	66986824	0	0	64064856	219277768	0	27376968	0	39427344	0	0	26975944	35205776	26951088	899451392	0	27301776	31105576	0	0	31048272	0	46218576	0	0	33932712	8297136	178033240	22956576	30285224	0	31197720	0	0	70654416
2025-11-17	0	10457256	0	0	0	64064856	0	76189176	0	0	0	52168904	35089920	0	35205776	26951088	899451392	0	27301776	0	0	20491336	31048272	0	0	0	0	33932712	0	178033240	0	0	0	0	0	0	0
2025-11-24	0	0	0	0	23067936	0	219277768	0	27376968	0	39427344	0	35089920	26975944	35205776	26951088	0	17448456	27301776	31105576	0	0	31048272	93937592	46218576	115450200	6896136	33932712	8297136	178033240	22956576	30285224	235647456	31197720	93254376	14060704	70654416
2025-12-01	1023839136	0	66986824	0	0	64064856	0	0	27376968	35185600	0	0	0	0	0	0	899451392	17448456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	16377000	0	66986824	7336896	0	64064856	227531776	86211900	45784716	35185600	7860960	4389036	0	0	0	8516040	909605132	25636956	10415772	57573048	32429428	8385024	47818320	93937592	66853596	6288768	13792272	20438496	12424140	14673792	22956576	39390836	244556544	39451728	104194212	14060704	0
2025-12-22	0	0	0	5242880	0	0	0	49974776	0	0	28941584	0	0	0	0	0	0	0	15728640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6962696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	508559360	0	0	0	0	0	0	0	20971520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30489936	0	0	0	0	0	17713696	20971520	0	0	0	0	0
2026-01-12	0	20914512	0	61538112	12582176	0	0	152378352	37862728	0	10485760	0	70179840	0	0	0	0	0	10485760	31105576	32892464	0	0	0	0	0	0	0	0	0	22956576	0	0	0	0	0	0
2026-01-19	0	0	0	0	0	0	0	0	0	0	0	0	19361280	0	19477136	0	0	0	0	0	0	0	124193088	0	0	0	0	0	0	0	0	0	0	0	0	0	36700160
2026-01-26	0	0	0	0	0	0	0	0	0	0	0	36700160	0	11247304	0	10485760	398458880	0	0	0	11920944	0	5242880	20971520	0	52428800	0	18204072	8297136	83886080	0	0	0	15469080	72282856	5242880	0
2026-02-02	0	0	15728640	0	0	10485760	89128960	0	0	19456960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83603936	0	0	0	0
2026-02-16	7598928	21020596	0	409600	10350264	15926720	0	10022724	8270560	16843832	6550800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	5695800	0	2199456	0	4585560	0	0	0	0	0	1992904	0	0	0	0	0	0	0	1204776	0	6141172	1147472	1163192	0	0	0	0	0	0	5702320	0	0	0	0	0	0
2026-03-02	0	0	5401644	0	0	0	0	0	0	0	0	0	3537432	0	0	0	0	1269256	0	0	0	1752136	0	0	0	0	5522156	0	1231536	0	0	0	0	0	0	0	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1264976	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	4716576	15263364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14084220	7598928	0	0	0	0	5109624	0	12791856	0	0	0	12249996	0	0	0	0	0	0
2026-03-23	851604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17448456	0	0	0	0	0	0	0	0	6896136	0	0	0	0	0	0	0	0	0	0
