week_start	sub-0/sub-0_ses-20230620T110854_behavior.nwb	sub-0/sub-0_ses-20231031T135510_behavior.nwb	sub-1/sub-1_ses-20230614T163157_behavior.nwb	sub-1/sub-1_ses-20231031T135558_behavior.nwb	sub-10/sub-10_ses-20230620T111637_behavior.nwb	sub-10/sub-10_ses-20240503T190631_behavior.nwb	sub-11/sub-11_ses-20230620T111855_behavior.nwb	sub-11/sub-11_ses-20240522T002407_behavior.nwb	sub-12/sub-12_ses-20230614T171042_behavior.nwb	sub-13/sub-13_ses-20230615T105805_behavior.nwb	sub-14/sub-14_ses-20230614T161558_behavior.nwb	sub-15/sub-15_ses-20230620T111927_behavior.nwb	sub-16/sub-16_ses-20230725T175146_behavior.nwb	sub-17/sub-17_ses-20230725T175210_behavior.nwb	sub-18/sub-18_ses-20230725T175221_behavior.nwb	sub-19/sub-19_ses-20230725T175242_behavior.nwb	sub-2/sub-2_ses-20230615T105722_behavior.nwb	sub-2/sub-2_ses-20231031T154756_behavior.nwb	sub-20/sub-20_ses-20230725T175523_behavior.nwb	sub-21/sub-21_ses-20230725T175536_behavior.nwb	sub-22/sub-22_ses-20230725T175547_behavior.nwb	sub-23/sub-23_ses-20230725T175602_behavior.nwb	sub-24/sub-24_ses-20230725T175621_behavior.nwb	sub-3/sub-3_ses-20230615T105740_behavior.nwb	sub-3/sub-3_ses-20231031T154851_behavior.nwb	sub-4/sub-4_ses-20230620T111609_behavior.nwb	sub-4/sub-4_ses-20231031T155000_behavior.nwb	sub-5/sub-5_ses-20230620T112123_behavior.nwb	sub-5/sub-5_ses-20231031T155836_behavior.nwb	sub-6/sub-6_ses-20230614T161531_behavior.nwb	sub-6/sub-6_ses-20240521T130712_behavior.nwb	sub-7/sub-7_ses-20230614T161540_behavior.nwb	sub-7/sub-7_ses-20240521T143306_behavior.nwb	sub-8/sub-8_ses-20230615T105749_behavior.nwb	sub-8/sub-8_ses-20240521T163107_behavior.nwb	sub-9/sub-9_ses-20230615T105755_behavior.nwb	sub-9/sub-9_ses-20240503T171307_behavior.nwb
2025-12-01	1023839136	0	66986824	0	0	64064856	219277768	0	27376968	35185600	0	0	0	0	0	0	899451392	17448456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93254376	0	0
2025-12-15	16377000	0	66986824	7336896	0	64064856	227531776	86211900	45784716	35185600	7860960	4389036	0	7533420	35205776	8516040	909605132	25636956	10415772	57573048	32429428	8385024	47818320	93937592	66853596	16377000	13792272	20438496	12424140	14673792	22956576	39390836	244556544	39451728	104194212	24279952	0
2025-12-22	0	10457256	0	10485760	0	0	0	60460536	0	0	28941584	0	0	0	0	0	0	0	15728640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12205576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	534773760	0	0	0	0	0	0	0	20971520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30489936	0	0	0	0	0	17713696	20971520	0	0	0	0	0
2026-01-12	0	20914512	0	61538112	12582176	0	0	152378352	37862728	0	39427344	0	70179840	0	0	0	0	0	27301776	31105576	32892464	0	0	0	0	0	0	0	0	0	35427392	0	0	0	0	0	0
2026-01-19	0	0	0	0	0	0	0	0	0	0	0	0	19361280	0	19477136	0	0	0	0	0	0	0	124193088	0	0	0	0	0	0	0	0	0	0	0	0	0	54925776
2026-01-26	0	0	0	0	5242880	0	0	0	0	0	0	36700160	0	16490184	0	10485760	461373440	0	0	0	17163824	5242880	5242880	41943040	0	62914560	0	18204072	8297136	89128960	0	0	0	15469080	72282856	5242880	0
2026-02-02	0	0	15728640	0	0	31457280	99614720	0	0	19456960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104575456	0	0	0	0
2026-02-16	7598928	21020596	0	409600	10555064	15926720	0	10022724	8270560	16843832	6550800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	5695800	0	2199456	0	4585560	0	0	0	0	0	1992904	0	0	0	0	0	0	0	1204776	0	6141172	1147472	5748752	0	0	0	0	0	0	5702320	5330628	0	0	0	0	0
2026-03-02	0	0	5401644	0	0	0	0	0	0	2008000	5256748	0	3537432	0	1106576	0	0	1269256	0	0	1107504	1752136	0	0	0	0	5522156	0	1231536	0	0	0	0	0	0	0	0
2026-03-09	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4651068	0	0	0	0	0	1264976	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	9171120	15263364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14084220	7598928	0	0	0	0	14673792	0	12791856	0	0	0	12249996	12512028	0	0	0	0	0
2026-03-23	851604	0	0	204800	0	0	0	0	0	0	0	0	0	0	0	0	6144796	0	0	0	0	0	0	0	46218576	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	52168904	0	0	14870316	0	0	17448456	0	0	0	0	0	0	0	0	6896136	0	0	0	0	0	0	0	0	0	0
2026-04-06	0	0	0	0	0	0	0	0	0	0	0	17556144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
