week_start	sub-KSm11/sub-KSm11_ses-20160616T120000_behavior.nwb	sub-KSm30/sub-KSm30_ses-20160831T120000_behavior.nwb	sub-KSm31/sub-KSm31_ses-20160824T120000_behavior.nwb	sub-KSm6/sub-KSm6_ses-20160602T120000_behavior.nwb	sub-KSm8/sub-KSm8_ses-20160604T120000_behavior.nwb	sub-KSm9/sub-KSm9_ses-20160610T120000_behavior.nwb	sub-KSt101/sub-KSt101_ses-20150511T120000_behavior.nwb	sub-KSt106/sub-KSt106_ses-20150514T120000_obj-1pi120h_behavior.nwb	sub-KSt106/sub-KSt106_ses-20150514T120000_obj-g7vu6s_behavior.nwb	sub-KSt107/sub-KSt107_ses-20150514T120000_behavior.nwb	sub-KSt107/sub-KSt107_ses-20150515T120000_obj-1lzhy6l_behavior.nwb	sub-KSt107/sub-KSt107_ses-20150515T120000_obj-1yadv1x_behavior.nwb	sub-KSt109/sub-KSt109_ses-20150521T120000_behavior.nwb	sub-KSt111/sub-KSt111_ses-20150529T120000_behavior.nwb	sub-KSt112/sub-KSt112_ses-20150606T120000_behavior.nwb	sub-KSt112/sub-KSt112_ses-20150610T120000_behavior.nwb	sub-KSt115/sub-KSt115_ses-20150622T120000_behavior.nwb	sub-KSt117/sub-KSt117_ses-20150629T120000_behavior.nwb	sub-KSt119/sub-KSt119_ses-20150702T120000_behavior.nwb	sub-KSt119/sub-KSt119_ses-20150703T120000_behavior.nwb	sub-KSt119/sub-KSt119_ses-20150706T120000_behavior.nwb	sub-KSt122/sub-KSt122_ses-20150719T120000_behavior.nwb	sub-KSt123/sub-KSt123_ses-20150729T120000_behavior.nwb	sub-KSt124/sub-KSt124_ses-20150721T120000_behavior.nwb	sub-KSt126/sub-KSt126_ses-20160831T120000_behavior.nwb	sub-KSt127/sub-KSt127_ses-20160909T120000_behavior.nwb	sub-KSt128/sub-KSt128_ses-20160913T120000_behavior.nwb	sub-KSt130/sub-KSt130_ses-20160923T120000_behavior.nwb	sub-KSt131/sub-KSt131_ses-20160923T120000_behavior.nwb	sub-KSt135/sub-KSt135_ses-20161024T120000_behavior.nwb	sub-KSt135/sub-KSt135_ses-20161027T120000_behavior.nwb	sub-KSt137/sub-KSt137_ses-20161015T120000_behavior.nwb	sub-KSt137/sub-KSt137_ses-20161017T120000_behavior.nwb	sub-KSt137/sub-KSt137_ses-20161018T120000_obj-1cimbwp_behavior.nwb	sub-KSt137/sub-KSt137_ses-20161018T120000_obj-1jbvpxr_behavior.nwb	sub-KSt138/sub-KSt138_ses-20161120T120000_behavior.nwb	sub-KSt140/sub-KSt140_ses-20161201T120000_behavior.nwb	sub-KSt140/sub-KSt140_ses-20161205T120000_obj-13pr4ey_behavior.nwb	sub-KSt140/sub-KSt140_ses-20161205T120000_obj-ofsdfk_behavior.nwb	sub-KSt66/sub-KSt66_ses-20140711T120000_behavior.nwb	sub-KSt66/sub-KSt66_ses-20140718T120000_behavior.nwb	sub-KSt69/sub-KSt69_ses-20140725T120000_behavior.nwb	sub-KSt76/sub-KSt76_ses-20140927T120000_behavior.nwb	sub-KSt77/sub-KSt77_ses-20141110T120000_obj-k3liaq_behavior.nwb	sub-KSt77/sub-KSt77_ses-20141110T120000_obj-maz7dk_behavior.nwb	sub-KSt80/sub-KSt80_ses-20141025T120000_behavior.nwb	sub-KSt82/sub-KSt82_ses-20141208T120000_behavior.nwb	sub-KSt88/sub-KSt88_ses-20150320T120000_behavior.nwb	sub-KSt89/sub-KSt89_ses-20150331T120000_behavior.nwb	sub-KSt89/sub-KSt89_ses-20150401T120000_behavior.nwb	sub-KSt91/sub-KSt91_ses-20150413T120000_obj-2btolv_behavior.nwb	sub-KSt91/sub-KSt91_ses-20150413T120000_obj-u72o7l_behavior.nwb	sub-KSt92/sub-KSt92_ses-20150405T120000_behavior.nwb	sub-KSt93/sub-KSt93_ses-20150416T120000_behavior.nwb	sub-KSt94/sub-KSt94_ses-20150424T120000_behavior.nwb	sub-KSt95/sub-KSt95_ses-20150429T120000_behavior.nwb	sub-KSt96/sub-KSt96_ses-20150420T120000_behavior.nwb	sub-KSt97/sub-KSt97_ses-20150427T120000_behavior.nwb	sub-KSt99/sub-KSt99_ses-20150506T120000_obj-1wybaw_behavior.nwb	sub-KSt99/sub-KSt99_ses-20150506T120000_obj-r9qsp2_behavior.nwb
2022-11-07	0	94126360	40036909	94320403	0	0	556984463	0	763935944	0	0	0	0	0	0	0	741517808	0	0	0	227349530	0	0	0	0	0	0	0	0	84190423	0	115954865	57064180	0	90262143	100589468	112484741	0	0	310021798	513901387	87632311	227719284	192955740	525596754	635655402	227718732	0	340001869	90715591	0	0	895189066	0	0	0	0	0	499203209	110988766
2022-11-14	10485760	0	0	5242880	0	0	20971520	15728640	15728640	5242880	5242880	0	5242880	31457280	0	15728640	15728640	15728640	0	15728640	15728640	26214400	10485760	20971520	0	10485760	0	0	5242880	10485760	0	10485760	0	0	10485760	5242880	18813973	0	0	15728640	5242880	5242880	20971520	5242880	10485760	15728640	15728640	20971520	15728640	10485760	0	5242880	5242880	0	5242880	5242880	5242880	10485760	10485760	20971520
2022-11-21	0	0	0	0	0	62893350	0	247968770	0	0	180788480	140086280	475281377	0	0	244928603	0	0	0	0	0	0	0	461282244	62044419	494356538	0	66472456	101406026	84190423	126440035	115954865	57064180	25719641	90262143	100589468	112484741	77689136	140206932	0	0	87632311	0	192955740	262798377	317827701	0	0	0	0	0	388552963	447594533	0	0	0	0	0	0	0
2022-11-28	0	0	0	0	0	0	0	247968770	381967972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-12-19	181203619	0	0	170851331	0	0	15728640	31457280	101934414	59296509	9987313	134219272	123535799	61287801	0	191523675	20971520	15728640	0	76482344	0	87899502	0	140427270	0	54252349	13969153	88196128	46519288	0	0	66594867	54119373	0	0	0	0	0	60323938	144872542	29896885	0	166669089	220390457	43634605	0	144272825	17122036	54782447	13902789	0	0	18282937	0	193280929	41943040	104857600	212134219	96194575	31457280
2023-01-02	0	0	0	125127915	0	0	47185920	0	31457280	68157440	0	80963266	42771129	17188400	5242880	78043126	5242880	15728640	0	20971520	0	13902789	5242880	31589264	0	26214400	0	39850175	67490312	0	0	0	14367337	0	0	0	10485760	0	192256244	50636104	127449206	5242880	162489095	218865092	15728640	0	240202277	0	108537163	26214400	0	43833449	63674851	0	0	0	73400320	89492625	15728640	0
2023-02-13	0	0	0	0	0	0	478341263	10485760	0	444685267	180788480	140086280	0	494360003	30733564	244928603	370758904	613201132	19875258	0	227349530	557884880	206740846	461282244	0	0	58530843	0	0	0	126440035	0	57064180	25719641	0	0	0	0	36700160	310021798	0	87632311	113859642	192955740	0	0	0	223107434	340001869	0	0	388552963	447594533	19029038	94838811	1035093344	0	0	0	0
2023-02-20	0	0	19065389	0	0	0	0	5242880	5242880	0	0	0	0	9522765	0	0	0	5242880	0	0	15728640	20573088	0	12343704	0	0	0	0	5242880	10485760	0	0	0	0	0	15728640	0	0	0	0	15728640	10485760	0	0	0	0	10485760	0	5242880	5242880	0	0	12907329	0	0	10485760	0	0	10485760	0
2023-04-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19875258	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62044419	0	58530843	0	0	10485760	0	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518395680	0	333488679	0	0
2023-04-17	0	0	0	0	0	0	0	0	0	8096408	0	0	0	0	0	10485760	0	0	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15728640	0	0	0	0	0	2787288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-08	0	0	0	26162963	0	0	0	0	0	0	0	0	6370944	0	0	0	0	0	19875258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	19478669	0	0	0	0	140908320	0	0	0	5242880
2023-05-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10485760	0	0	5242880	0	0	0	0	11513685	10485760	0	0	0	0	0	0	5242880	0	0	0	0	0
2023-05-22	0	0	93392592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	0	5242880
2023-05-29	0	0	60535320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-05	10419148	0	64311584	0	0	0	0	0	0	0	5242880	0	0	0	0	2190012	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	6105488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-12	0	0	81510800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22558151	0	0	0	0	0	0	0	0	0	0
2023-06-19	0	0	1079765528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	0	0	164822292	15728640	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-03	0	0	88689589	0	0	0	0	0	0	0	0	0	16424621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	0	0	58078128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8162772	0	0
2023-07-17	0	0	61531496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10485760	0	0	0	0	12078248	0	0	0	0	0	0	0	0	15728640	0	0	0	0	0	0	0	0	0	0	0
2023-07-24	0	0	76072824	15728640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39750516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19478669	0	0	0	0	0	0	0	0	0
2023-07-31	0	0	75520280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20971520	0	0	0	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-07	0	0	75626648	0	0	0	0	0	0	0	0	0	207894497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24529416	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-14	0	0	102327957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15728640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26214400	0	0	0	5242880	0	0	0	0	0	0	0	5242880	0	0	0
2023-08-21	0	0	58552392	15728640	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	5242880	0	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	0	0	99484360	0	0	4446388	0	0	0	0	0	0	5242880	0	0	0	0	0	39750516	0	0	0	0	0	0	0	0	0	5242880	0	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15728640	0	0	0	38957338	0	0	0	0	5242880	0	0	0	0
2023-09-04	0	0	81583864	0	0	0	0	0	0	0	0	0	0	0	0	0	15728640	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	5242880	0	0	0	10485760	0	0	5242880	0	0	15728640	0	0
2023-09-11	0	0	62666464	0	0	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	6370944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	0	0	76848448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66472456	0	5242880	5242880	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	0	0	15728640
2023-09-25	0	0	77609680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19875258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0
2023-10-02	0	0	9741304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26214400	0	0	0	0	0	0	0	0	0	15728640	0	0	0	0	0	0	0	0	0	0	0	15728640	0	0
2023-10-09	5242880	0	10650536	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	20971520	15728640	5242880	0	0	0	5242880	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	0
2023-10-16	5707304	0	5773000	0	0	0	0	0	0	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	41943040	0	0	0	0	0	0	0	0	0	0	0	0	15728640	15728640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157685536	0	0	0	15728640
2023-10-23	0	0	6765688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19875258	0	0	281060816	0	0	0	0	16777216	0	0	0	0	25165824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10485760	0	38957338	0	0	0	0	0	0	109051904	0	0
2023-10-30	117688879	47063180	46360669	0	131910722	0	1394129325	0	0	444685267	0	280172560	0	0	30733564	244928603	0	613201132	39750516	68867381	454699060	0	0	461282244	0	494356538	0	66472456	0	84190423	0	115954865	0	25719641	90262143	100589468	0	0	0	310021798	513901387	5242880	71916602	192955740	10485760	0	227718732	0	0	90715591	38957338	0	0	19029038	94838811	518395680	725983383	333488679	499203209	110988766
2023-11-06	0	0	18564680	0	0	0	20971520	0	0	0	0	81366024	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4446388	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	0	0	4401064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19875258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19478669	0	0	0	0	0	4446388	0	0	0
2023-11-20	0	0	55001957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	0	0	17592232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	0	0	13822509	0	0	0	78643200	0	381967972	444685267	180788480	140086280	0	0	0	0	370758904	162529280	19875258	110810421	227349530	0	206740846	461282244	0	494356538	0	66472456	101406026	84190423	0	115954865	0	0	90262143	100589468	112484741	77689136	140206932	294293158	513901387	87632311	113859642	0	262798377	317827701	227718732	0	340001869	90715591	19478669	5242880	0	0	0	397809440	725983383	0	499203209	110988766
2023-12-11	0	0	13840456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39750516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19478669	0	0	0	0	0	0	0	0	0
2024-01-22	104817758	72440912	58294437	158205930	121960454	118152626	509800207	335276616	293023428	326251655	209178664	98921480	358647777	359239680	24371200	212036375	15728640	0	0	0	10485760	0	0	0	182412274	0	0	0	0	0	11096675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19478669	0	0	0	0	0	0	0	0	0
2024-01-29	0	0	0	0	0	0	317030400	0	247522944	364075188	0	100966400	444524653	344326980	8235892	121588412	173741304	472371200	9689144	74151221	164393056	342394980	157998446	233954244	0	246241338	50167259	33032632	26214400	73936531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2274892	0	4457549	0	0	8892776	20971520	0	5242880	0	0	0	0	0
2024-02-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69096035	128526889	42012824	132728	54846391	26316800	66293856	36480116	121734000	309452800	284508256	95436800	56150548	106216652	129662676	201848113	169511268	108214634	226343612	48128000	0	0	0	0	0	0	0	0	0	0
2024-02-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288010811	347175612	0	79171611	394389280	379709771	211305879	322358409	82697482
2024-03-04	0	0	99139207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0
