week_start	sub-HK210128/sub-HK210128_ecephys+image.nwb	sub-HK210131/sub-HK210131_ecephys+image.nwb	sub-HK210202/sub-HK210202_ecephys+image.nwb	sub-HK210205/sub-HK210205_ecephys+image.nwb	sub-HK210212/sub-HK210212_ecephys+image.nwb	sub-HK210219B/sub-HK210219B_ecephys+image.nwb	sub-HK210317/sub-HK210317_ecephys+image.nwb	sub-KO201224/sub-KO201224_ecephys+image.nwb	sub-KO201224B/sub-KO201224B_ecephys+image.nwb	sub-KO210111/sub-KO210111_ecephys+image.nwb	sub-KO210111B/sub-KO210111B_ecephys+image.nwb	sub-KO210112/sub-KO210112_ecephys+image.nwb	sub-KO210113/sub-KO210113_ecephys+image.nwb	sub-KO210124/sub-KO210124_ecephys+image.nwb	sub-KO210127/sub-KO210127_ecephys+image.nwb	sub-KO210127B/sub-KO210127B_ecephys+image.nwb	sub-KO210127C/sub-KO210127C_ecephys+image.nwb	sub-KO210224B/sub-KO210224B_ecephys+image.nwb	sub-KO210303/sub-KO210303_ecephys+image.nwb	sub-KO210622/sub-KO210622_ecephys+image.nwb	sub-KO210623/sub-KO210623_ecephys+image.nwb	sub-KO210623B/sub-KO210623B_ecephys+image.nwb	sub-KO210802/sub-KO210802_ecephys+image.nwb	sub-KO210804B/sub-KO210804B_ecephys+image.nwb	sub-KO210819/sub-KO210819_ecephys+image.nwb	sub-KO210819B/sub-KO210819B_ecephys+image.nwb
2025-10-06	17350672	32578304	27580428	16206204	26190052	27998316	6544740	21946944	10009904	17394012	17437728	21297064	6386376	11630532	16720380	21715980	16510356	27921300	11545608	13234416	19409736	25080888	15791296	13529856	10800156	25557424
2025-10-13	10509560	5841932	2621880	9996204	9902180	9046704	10737252	10154328	16075804	15388812	16508016	6933532	9028968	5118528	13961124	9826252	15767152	0	7287588	10831256	8254008	12512028	6175096	5754604	5041228	11510648
2025-10-20	10116512	19009040	13451496	6065724	12488408	11352684	805912	18277320	9262972	6132204	10227648	879200	14443860	8254008	9834120	7271492	6202984	1713136	6365076	5656124	7624752	9561276	1606880	10536688	9102724	5886340
2025-10-27	7983028	15346452	10001928	11175348	9640148	12643044	5738828	15854112	4192512	14628264	790296	9460748	17479500	13896600	10161660	9826252	6618648	4389036	6627108	6114680	21047436	11193192	10319444	15318772	5693420	13915760
2025-11-03	27219292	49172020	35532372	35084976	33492856	45823584	36318944	43500252	34903648	43566096	35665752	52027280	32533896	42014160	54129408	47788372	40949520	31871636	50156820	41403756	37135632	37769196	43928916	41416064	45174528	38818104
2025-11-10	14903788	24922340	22036164	30460428	26910640	31326024	39777112	28465872	30003368	21626484	15681612	39497972	22074888	19342668	27017016	26203356	42476480	15948228	31405332	19631764	11751756	19572432	25717692	21494128	26316888	11969204
2025-11-17	12175540	19276932	13758240	13481388	19749324	7297788	22181336	15231492	15145872	28333848	19075428	13239580	21627468	20941572	10689684	11464004	17276176	14950716	21835764	6420684	14228148	10082448	17594700	8327020	17410688	7645676
2025-11-24	20626072	11880388	14259948	18708768	20938940	15545196	4127004	8484756	19954300	16613484	22035888	10891608	14509368	14897028	14092140	12151864	10811160	13696136	20323680	14303180	25455840	14209452	11057376	21552132	10603632	14524016
2025-12-01	14978244	30467080	19938348	18512244	14498212	11948856	15866692	12349728	9787036	4010400	19599492	22176264	21288792	12163500	15406260	10088284	21093576	25114384	28381164	20199800	18152172	15775860	16966572	22562456	16168924	15637652
2025-12-08	14178008	20068888	4127004	5030856	19649724	6505092	7416160	11104488	14464448	13398024	22997788	5885404	11419356	10499088	15535556	2260104	7885916	1713136	14089620	6420684	13173564	14274960	11402260	10760916	6476628	10275376
2025-12-15	40680908	50981156	41445768	32293524	17446072	30539928	47536324	39897836	14071400	44101296	43495872	38216812	30617796	42110672	28049304	45366644	25442060	26218092	67593912	26618684	61243804	43941408	41337532	24206808	40336712	21112260
2025-12-29	0	0	0	13023944	38127400	25778296	0	13004744	13100440	38276200	0	13372000	0	12980600	13180456	0	0	13246968	38224728	13052560	13285352	0	0	16537040	12968808	13204560
2026-01-05	15647464	11022924	20396904	24446952	32827304	21323100	23314788	23059404	23884780	28308300	25900860	16028828	22456800	14897028	33293904	27972020	15746876	20261828	5267640	10875228	25187352	22662876	28550252	15149952	20033896	18463876
2026-01-12	0	0	0	33995464	0	0	0	0	0	0	15187736	0	0	0	13180456	15392176	0	0	0	0	2799592	0	0	0	0	0
2026-01-19	6579080	14086460	5874924	10389252	32786144	792696	4932916	14215824	5751884	11261808	9900108	19198324	6713916	10826628	8712564	13134380	13759020	0	5246040	13407604	5712108	10147956	4127004	29920584	1566416	18501320
2026-01-26	17144916	14155588	29539168	9616416	14891260	15879336	18643904	24078964	4874640	13751112	7484712	5885404	10775412	10106040	15009252	30039976	13803060	15534840	15869136	14172164	15020700	6935172	15511920	15018936	3916040	20826644
2026-02-02	1731488	857464	9193476	9223368	4127004	5050716	2417736	4258020	14199016	25312788	1580592	0	774960	19279400	5903640	4880372	8385024	9372608	25180596	14720004	9243084	5824428	4930444	1824124	11785016	8319516
2026-02-09	4992748	0	873960	5869200	11560824	4985208	4192512	4127004	9656020	6459744	9437352	4520052	4389036	6363180	4917060	4127004	4935716	10491208	8319516	764560	1585104	9495768	9057448	0	5041228	5334212
2026-02-16	10553352	21093576	5066472	15128560	29096024	15528208	20168888	20561936	19059040	8647056	6350900	879200	4192512	795000	5969148	4782084	5744428	4983572	4127004	764560	4919556	848712	1606880	4127004	783208	4127004
2026-02-23	4909312	6342912	11177284	19870864	15087784	4909312	3134536	0	26225756	19021788	21753268	10632316	5560604	11461440	6358408	14047704	16830320	17692124	28577688	6456180	17313480	15383912	9647020	13228828	14796144	6374764
2026-03-02	865744	0	0	0	0	0	0	819144	4258020	1002600	0	0	0	795000	790056	753368	0	0	0	4323528	0	0	0	0	0	0
2026-03-09	0	0	0	0	0	0	5063932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3602940	4127004	814160
2026-03-16	3514344	5770564	0	12944064	10371208	4919700	786096	3046416	12996928	8843580	1580592	5661284	9803928	4856496	2370168	8909088	2426136	6495220	14160528	21378044	6498204	0	1606880	11088456	13289460	5755324
2026-03-23	0	2870288	0	0	0	792696	0	0	0	0	0	0	4127004	4389036	0	0	4192512	856568	0	764560	0	1048128	803440	813800	0	814160
