week_start	sub-1214579789/sub-1214579789_ses-1214622236_icephys.nwb	sub-1214579789/sub-1214579789_ses-1214626483_icephys.nwb	sub-1216132605/sub-1216132605_ses-1216178721_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223022017_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223032670_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223032714_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223043448_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223050885_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223050946_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223056539_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223057941_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223065636_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223067925_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223069347_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223072279_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223075016_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223193867_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223216141_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223230447_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223239507_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223240845_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223245489_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223246864_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223257956_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223266236_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223266741_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223274165_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223466043_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223472584_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223524258_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223751280_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223780485_icephys.nwb	sub-1223010848/sub-1223010848_ses-1223784745_icephys.nwb	sub-1229448755/sub-1229448755_ses-1229697792_icephys.nwb	sub-1229448755/sub-1229448755_ses-1229726699_icephys.nwb	sub-1229448755/sub-1229448755_ses-1229729186_icephys.nwb	sub-1229448755/sub-1229448755_ses-1231220321_icephys.nwb	sub-1229448755/sub-1229448755_ses-1231234526_icephys.nwb	sub-1229448755/sub-1229448755_ses-1231236649_icephys.nwb	sub-1229448755/sub-1229448755_ses-1231252692_icephys.nwb	sub-1244263408/sub-1244263408_ses-1244377141_icephys.nwb	sub-1244263408/sub-1244263408_ses-1244527847_icephys.nwb	sub-1244263408/sub-1244263408_ses-1245573184_icephys.nwb	sub-1244263408/sub-1244263408_ses-1245582702_icephys.nwb	sub-1244263408/sub-1244263408_ses-1245591661_icephys.nwb	sub-1244263408/sub-1244263408_ses-1245856800_icephys.nwb	sub-1244263408/sub-1244263408_ses-1245868071_icephys.nwb	sub-1246007072/sub-1246007072_ses-1246171824_icephys.nwb	sub-1253938349/sub-1253938349_ses-1254008145_icephys.nwb	sub-1253938349/sub-1253938349_ses-1254033693_icephys.nwb	sub-1253938349/sub-1253938349_ses-1256351608_icephys.nwb	sub-1253938349/sub-1253938349_ses-1256357783_icephys.nwb	sub-1253938349/sub-1253938349_ses-1256367067_icephys.nwb	sub-1253938349/sub-1253938349_ses-1256380088_icephys.nwb	sub-1253938349/sub-1253938349_ses-1256400893_icephys.nwb	sub-1253938349/sub-1253938349_ses-1256601748_icephys.nwb	sub-1253938349/sub-1253938349_ses-1256616986_icephys.nwb	sub-1253938349/sub-1253938349_ses-1256619665_icephys.nwb	sub-1253938349/sub-1253938349_ses-1256624472_icephys.nwb	sub-1253938349/sub-1253938349_ses-1256626376_icephys.nwb	sub-1253938349/sub-1253938349_ses-1256644993_icephys.nwb	sub-1256313642/sub-1256313642_ses-1256432717_icephys.nwb	sub-1256313642/sub-1256313642_ses-1256446193_icephys.nwb	sub-1256313642/sub-1256313642_ses-1256446225_icephys.nwb	sub-1256313642/sub-1256313642_ses-1256468441_icephys.nwb	sub-1256313642/sub-1256313642_ses-1256469559_icephys.nwb	sub-1256313642/sub-1256313642_ses-1257720395_icephys.nwb	sub-1256313642/sub-1256313642_ses-1257726371_icephys.nwb	sub-1256313642/sub-1256313642_ses-1257738494_icephys.nwb	sub-1256313642/sub-1256313642_ses-1257745417_icephys.nwb	sub-1256313642/sub-1256313642_ses-1257758173_icephys.nwb	sub-1256313642/sub-1256313642_ses-1257774268_icephys.nwb	sub-1256313642/sub-1256313642_ses-1257781170_icephys.nwb	sub-1256313642/sub-1256313642_ses-1257787146_icephys.nwb	sub-1256313642/sub-1256313642_ses-1257812670_icephys.nwb	sub-1257702203/sub-1257702203_ses-1258167132_icephys.nwb	sub-1257702203/sub-1257702203_ses-1258170140_icephys.nwb	sub-1257702203/sub-1257702203_ses-1258191718_icephys.nwb	sub-1257702203/sub-1257702203_ses-1258198439_icephys.nwb	sub-1257702203/sub-1257702203_ses-1258199441_icephys.nwb	sub-1257702203/sub-1257702203_ses-1258207076_icephys.nwb	sub-1257702203/sub-1257702203_ses-1258234928_icephys.nwb	sub-1257702203/sub-1257702203_ses-1260169255_icephys.nwb	sub-1257702203/sub-1257702203_ses-1260210354_icephys.nwb	sub-1257702203/sub-1257702203_ses-1260317674_icephys.nwb	sub-1257702203/sub-1257702203_ses-1260767591_icephys.nwb	sub-1257702203/sub-1257702203_ses-1260789843_icephys.nwb	sub-1257702203/sub-1257702203_ses-1260812463_icephys.nwb	sub-1257702203/sub-1257702203_ses-1260835742_icephys.nwb	sub-1257702203/sub-1257702203_ses-1260848566_icephys.nwb	sub-1257702203/sub-1257702203_ses-1260867040_icephys.nwb	sub-1257702203/sub-1257702203_ses-1260974189_icephys.nwb	sub-1257702203/sub-1257702203_ses-1261009002_icephys.nwb	sub-1257702203/sub-1257702203_ses-1261030646_icephys.nwb	sub-1257702203/sub-1257702203_ses-1261411167_icephys.nwb	sub-1257702203/sub-1257702203_ses-1261435877_icephys.nwb	sub-1257702203/sub-1257702203_ses-1261453570_icephys.nwb	sub-1257702203/sub-1257702203_ses-1261463287_icephys.nwb	sub-1257702203/sub-1257702203_ses-1261476169_icephys.nwb	sub-1257702203/sub-1257702203_ses-1261483652_icephys.nwb	sub-1257702203/sub-1257702203_ses-1261763003_icephys.nwb	sub-1257702203/sub-1257702203_ses-1261802117_icephys.nwb
2023-09-25	0	0	0	34212209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25646859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25973972	0	0	0	0	0	0	0
2023-10-09	0	0	0	10085443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-16	0	0	0	7386255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56433850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74219646	0	0	0	0	0	12112822	0	0	0	0	0	0	0	0	0	0
2023-10-23	57354929	0	0	38914988	0	0	0	0	0	0	0	0	25165824	0	0	0	0	0	25646859	0	0	0	0	0	0	0	0	54877338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25165824	0	0	0	0	0	0	0	0	0	0	0	0	0	51947944	0	0	0	0	0	0	0
2023-10-30	0	0	0	9822806	0	0	31738172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29276691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47782395	0	0	0	0	0	0	0	51012266	0	10686355	0	43559336	41943040	0	0	0	0	0	0
2023-11-06	0	0	0	7720447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	0	0	0	2647801056	0	0	0	8388608	0	0	0	0	0	0	0	0	0	0	25646859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77921916	0	0	0	0	0	0	0
2023-11-20	90909361	50506512	0	2446777701	37941044	84013154	61553045	51198766	76750038	53361986	41253531	45721457	0	52591524	21234740	0	0	32588068	0	0	85371314	0	62051020	0	39869658	64430082	0	0	46158138	29283838	53218251	0	46884249	46053907	0	43672866	0	50262960	31905917	115609926	43997172	72647321	0	0	0	0	59121664	38519800	57985422	0	0	27884919	42085455	37051759	40486813	0	0	39849978	59734744	0	48633841	49905175	0	43285408	58476458	53507421	32894475	60980741	0	35059831	0	53594595	50868431	45649794	44371989	95895941	0	93822513	71904184	0	0	0	56171003	54812166	55421060	49692735	42631312	0	59624475	0	51012266	0	44240787	79227797	25973972	0	0	27157135	33837639	89565224	75373557	29268516
2023-11-27	0	0	0	90901097	37941044	84013154	61553045	51198766	38375019	53361986	41253531	45721457	0	0	21234740	0	0	32588068	0	0	85371314	0	0	0	0	64430082	0	0	0	0	0	0	0	0	0	0	0	0	31905917	57804963	0	0	60218518	54380202	63333798	32362557	59121664	0	57985422	49764849	78842730	27884919	0	0	40486813	43847578	60284800	39849978	59734744	0	0	49905175	68254990	86570816	0	0	32894475	0	80006686	0	42463163	53594595	0	0	88743978	95895941	51538401	93822513	0	142629850	57846557	52189830	56171003	54812166	0	49692735	42631312	91602133	59624475	0	51012266	45667254	0	0	0	0	74927962	0	0	89565224	0	29268516
2023-12-04	0	0	0	10075878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-11	85666481	45263632	85519269	0	32698164	78770274	51067285	35470126	38375019	48119106	36010651	45721457	49379239	36862884	15991860	85971961	79156925	27345188	20403979	81879230	80128434	59175624	56808140	57658434	24141018	59187202	25204828	49634458	40915258	29283838	32246731	42802362	41641369	40811027	35914804	38429986	46701267	45020080	26663037	52562083	38754292	67404441	54975638	49137322	58090918	27119677	53878784	33276920	52742542	44521969	68356970	22642039	36842575	31808879	30001053	38604698	55041920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85410181	0	47185920	66661304	60829165	47360797	46946950	50928123	49569286	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0
2024-01-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25646859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25973972	0	0	0	0	0	0	0
2024-01-22	43045270	58091044	62203758	44641344	21451844	27994466	131016	21175680	26909854	32074372	35290986	28628521	50619401	40075180	0	26076246	67130825	29359024	36474334	4198400	17583232	47164876	43919460	26776142	20611870	31249682	33173632	39508276	25880570	3078876	41689953	6419784	6354276	0	22436024	15182348	27021255	24824280	20482470	24274602	4847592	27229277	27938420	0	28134014	7729944	0	19109956	24293022	0	30171314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23909414	18015284	19687948	3995988	0	16443517	20326563	20063452	2161764	2161764	4847592	26776998	3209892	30552064	21664076	7402404	6419784	26209130	5830212	0	4782084	6354276	18042778	22192000	6354276	27484220	25511278	0	4651068	28685810	29532392	23558058	9236628	16227350	0	28744819	7074864	131016	4651068	20293658	24863316	0	44576989	20613601	6606329	26131384	6419784	26614557	31305706	27089403	25409202	0	18563135	22547448	26009600	0	5175132	20906666	20707470	13213587	6354276	18811448	45856026	6354276	13149470	0	4127004	28986357	0
2024-02-19	26072184	0	11398392	43237520	5242880	0	10153740	0	0	5242880	0	0	0	39894372	10219248	0	40614960	8450532	5242880	0	0	917112	0	14477268	62363616	9236628	10088232	0	11332884	0	54371640	0	0	8057484	0	0	10808820	61512012	0	0	0	0	17294112	0	55487516	25679136	0	0	0	0	34784748	0	0	0	0	9236628	0	0	0	0	0	10485760	0	0	0	18866304	0	0	15590904	0	0	17425128	0	0	0	15394380	0	8057484	0	16311492	0	0	0	0	0	17032080	0	0	0	0	0	0	0	0	0	37667100	45139492	16639032	59546772	0	0	15328872
2024-02-26	0	46052124	90762149	64700170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
