week_start	sub-01/sub-01_ses-01.nwb	sub-01/sub-01_ses-02.nwb	sub-01/sub-01_ses-03.nwb	sub-01/sub-01_ses-04.nwb	sub-01/sub-01_ses-20161214T171300_behavior+ecephys.nwb	sub-01/sub-01_ses-20161214T173600_behavior+ecephys.nwb	sub-01/sub-01_ses-20161217T121400_behavior+ecephys.nwb	sub-01/sub-01_ses-20161217T122800_behavior+ecephys.nwb	sub-02/sub-02_ses-01.nwb	sub-02/sub-02_ses-02.nwb	sub-02/sub-02_ses-03.nwb	sub-02/sub-02_ses-04.nwb	sub-02/sub-02_ses-05.nwb	sub-02/sub-02_ses-06.nwb	sub-02/sub-02_ses-07.nwb	sub-02/sub-02_ses-20160211T115600_behavior+ecephys.nwb	sub-02/sub-02_ses-20160211T120600_behavior+ecephys.nwb	sub-02/sub-02_ses-20160211T153300_behavior+ecephys.nwb	sub-02/sub-02_ses-20160212T165900_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-136ipd1_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1f4urbp_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1qctcfn_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1s87l12_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1uo96nx_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-lcaqlc_behavior+ecephys.nwb	sub-03/sub-03_ses-01.nwb	sub-03/sub-03_ses-02.nwb	sub-03/sub-03_ses-03.nwb	sub-03/sub-03_ses-20150304T165900_behavior+ecephys.nwb	sub-03/sub-03_ses-20150305T085500_behavior+ecephys.nwb	sub-03/sub-03_ses-20150306T173300_behavior+ecephys.nwb	sub-04/sub-04_ses-01.nwb	sub-04/sub-04_ses-02.nwb	sub-04/sub-04_ses-20170118T103700_behavior+ecephys.nwb	sub-04/sub-04_ses-20170118T104700_behavior+ecephys.nwb	sub-05/sub-05_ses-01.nwb	sub-05/sub-05_ses-02.nwb	sub-05/sub-05_ses-03.nwb	sub-05/sub-05_ses-20170706T115300_obj-17gax9n_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T115300_obj-18w1jo9_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T115300_obj-1m3bzkg_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T115300_obj-1uq55tf_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T141100_behavior+ecephys.nwb	sub-06/sub-06_ses-01.nwb	sub-06/sub-06_ses-02.nwb	sub-06/sub-06_ses-03.nwb	sub-06/sub-06_ses-04.nwb	sub-06/sub-06_ses-05.nwb	sub-06/sub-06_ses-06.nwb	sub-06/sub-06_ses-07.nwb	sub-06/sub-06_ses-20140827T165900_behavior+ecephys.nwb	sub-06/sub-06_ses-20140827T171200_behavior+ecephys.nwb	sub-06/sub-06_ses-20140827T172100_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T102600_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T145500_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T151000_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T152100_behavior+ecephys.nwb	sub-07/sub-07_ses-01.nwb	sub-07/sub-07_ses-02.nwb	sub-07/sub-07_ses-03.nwb	sub-07/sub-07_ses-04.nwb	sub-07/sub-07_ses-20160302T170100_behavior+ecephys.nwb	sub-07/sub-07_ses-20160303T164000_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-1d0jeko_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-1wdu15t_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-9hzkt8_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-boqvfp_behavior+ecephys.nwb	sub-08/sub-08_ses-01.nwb	sub-08/sub-08_ses-02.nwb	sub-08/sub-08_ses-03.nwb	sub-08/sub-08_ses-04.nwb	sub-08/sub-08_ses-05.nwb	sub-08/sub-08_ses-20170111T115400_behavior+ecephys.nwb	sub-08/sub-08_ses-20170111T120500_behavior+ecephys.nwb	sub-08/sub-08_ses-20170113T121400_behavior+ecephys.nwb	sub-08/sub-08_ses-20170113T121600_behavior+ecephys.nwb	sub-09/sub-09_ses-01.nwb	sub-09/sub-09_ses-02.nwb	sub-09/sub-09_ses-20150115T144300_obj-106jgmp_behavior+ecephys.nwb	sub-09/sub-09_ses-20150115T144300_obj-13cfy3x_behavior+ecephys.nwb	sub-09/sub-09_ses-20150115T144300_obj-1qba6e_behavior+ecephys.nwb	sub-09/sub-09_ses-20150115T144300_obj-u2fzwy_behavior+ecephys.nwb
2023-12-11	0	0	0	0	35125695	1410050764	23257147	24113327	0	0	0	0	0	0	0	22754802	24391119	35573175	30833299	26399068	29438851	28250941	28829413	26399068	29436251	0	0	0	36935544	28552750	29285287	0	0	32496032	23361141	0	0	0	27802885	1389166508	33977774	27800285	31426244	0	0	0	0	0	0	0	30777171	23031682	28067740	31599651	30954810	35031832	22707727	0	0	0	0	49090340	31960962	29527838	31020141	29527886	31020189	0	0	0	0	0	35767272	36176170	32768340	30291761	0	0	30667587	30512057	30513749	30667703
2023-12-18	0	0	0	0	33147048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-25	0	0	0	0	1382545855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-01	0	0	0	0	0	1381356902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2710372268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-08	0	0	0	0	10087084	0	0	7348053192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	0	0	0	0	1386520490	1401891560	14150151	9614846	0	0	0	0	0	0	0	22829844	9449702	11554071	6987246	14053632	3825387	12263505	39654362	34347984	48264995	0	0	0	8096904	16851932	14624003	0	0	8404684	10863070	0	0	0	5158622	1362998544	37949184	26487320	8168648	0	0	0	0	0	0	0	11415303	1621764	9856156	1890318	12249996	13492588	11275687	0	0	0	0	12430928	3473100	8799584	0	39688888	50755382	0	0	0	0	0	5766320	9663274	8586936	5181881	0	0	7915160	22327756	3668448	27425878
2024-01-29	0	0	0	0	1382545855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-05	0	0	0	0	5096975626	1998657650	1414507331	1392505007	0	0	0	0	0	0	0	801844196	623705785	1558126040	486440548	1541695420	408054744	757761500	2256952704	275705876	2884482312	0	0	0	157326900	527107720	333166980	0	0	2624722972	183076929	0	0	0	539653903	465640820	413413636	434303325	1818612152	0	0	0	0	0	0	0	233823692	337084696	282319308	137436484	151287344	133759760	64272324	0	0	0	0	1056820880	945974316	828980228	283106048	776309940	764477120	0	0	0	0	0	343054956	176844496	527785284	33561170	0	0	312372328	134575172	304594072	220044284
2024-02-12	0	0	0	0	1382545855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-19	0	0	0	0	173064835	66824880	187881424	113936332	0	0	0	0	0	0	0	206858036	106344124	169340420	83029996	94213944	192295100	192374048	331047764	136084756	510616392	0	0	0	418273060	165409940	317781548	0	0	348197420	56930932	0	0	0	52799448	116671988	138246520	334128880	417825704	0	0	0	0	0	0	0	230784684	117353948	329023736	195166252	84193460	140803572	206232624	0	0	0	0	322030060	83886080	99201512	198680736	156923020	156363873	0	0	0	0	0	225701940	348147592	404168132	149660592	0	0	324169424	112946992	145124860	340401968
2024-02-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7860960	0	0	0	0	0	0	0
2024-03-04	0	0	0	0	2812854841	1381356902	0	2785010014	0	0	0	0	0	0	0	1200856016	0	1116387532	0	0	0	45593568	5638995092	2143474012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1355183534	72713880	0	0	0	0	0	0	0	0	0	17425128	0	0	0	113263332	0	0	0	0	0	0	0	0	0	2708639566	5388806458	0	0	0	0	0	0	0	0	0	0	0	188269992	648590724	0	0
2024-03-11	0	0	0	0	2872204345	24403412	17401423	54628757	0	0	0	0	0	0	0	371228316	95167271	332618405	33843427	10671136	61315488	29411643	3209892	26435032	7663631	0	0	0	4389036	54972126	126561456	0	0	35734282	34898501	0	0	0	67511137	39793078	2479534	17128113	17002164	0	0	0	0	0	0	0	27573033	35938314	66870380	21165162	28213644	32236014	28109010	0	0	0	0	61945372	33929870	27232524	31963151	30704504	257869386	0	0	0	0	0	264435600	327614978	40469404	11315505	0	0	25398758	7686821	27297289	36019710
2024-03-18	0	0	0	0	28051481	59374026	118230299	21620062	0	0	0	0	0	0	0	32363874	159386629	30810705	37395537	59061544	28916746	31646144	11248227	17791504	14554035	0	0	0	13440652	10850724	28310421	0	0	25006184	25625616	0	0	0	31936263	27229818	28672964	25251105	12116380	0	0	0	0	0	0	0	27577557	30611952	20812020	28871469	39311502	23923552	27203877	0	0	0	0	32727016	32119224	120418926	17204848	31912640	29002371	0	0	0	0	0	17011184	40308048	23461152	29705874	0	0	27776937	20572902	18934047	19523277
2024-03-25	0	0	0	0	792512347	26816550	10446357	20442129	0	0	0	0	0	0	0	4618047874	27547162	8872731	16629501	5489336	8005835	15921334	14252525	18656444	11170137	0	0	0	2626211544	30121878	25948478	0	0	603937700	22341225	0	0	0	549817156	160196500	16272412	30487287	20500104	0	0	0	0	0	0	0	25001346	15382932	17093392	20617461	4196980	23307792	18638146	0	0	0	0	2550052664	14132202	12456668	200416012	12643044	21010395	0	0	0	0	0	10187904	21354702	20073476	25185822	0	0	213742679	21231372	26619574	18387174
2024-04-01	0	0	0	0	64068224	8895178	1364027	2425007	0	0	0	0	0	0	0	3278322	12168635	2721759719	6681816	6419784	6381329486	5538517821	8160281	6193137344	6374904502	0	0	0	0	1545960540	1566560523	0	0	0	2565435870	0	0	0	1377876490	1357668268	1365140750	1381836753	8907788	0	0	0	0	0	0	0	2782384045	2565828482	8924416	6354276	2460503860	2683289464	2506174850	0	0	0	0	2535392364	2731729152	2821918	2614381	6419784	2703377825	0	0	0	0	0	2448593020	8144526	2386821460	2397280707	0	0	5941839494	5830021150	1944149	140957574
2024-04-08	0	0	0	0	130942732	0	0	77547615	0	0	0	0	0	0	0	0	0	101314137	0	0	0	0	0	1129389120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31317772	0	198979700	0	0	0	49728763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191780908	0
2024-04-15	0	0	0	0	64463019	86424042	52564027	79429807	0	0	0	0	0	0	0	2121722025	120836775	107316023	70881243	77928788	94872451	124635297	104359049	0	135829851	0	0	0	40960000	184957204	0	0	0	0	714988796	0	0	0	55681816	24	156097400	0	0	0	0	0	0	0	0	0	0	0	0	157333828	128198520	0	0	0	0	0	0	55943832	2769316870	55861566	0	0	83784732	0	0	0	0	0	146379820	419198036	2386821460	0	0	0	0	0	0	0
2024-04-22	0	0	0	0	21721120	148958904	0	0	0	0	0	0	0	0	0	0	0	0	109903085	0	110673797	0	924246510	152965056	0	0	0	0	0	0	36343879	0	0	115149232	67722089	0	0	0	20266245	67589476	26834276	20394661	306733172	0	0	0	0	0	0	0	154226094	107406440	108299508	68975651	93798400	109573516	95196131	0	0	0	0	27096308	117895042	73728000	110236781	78051528	93024241	0	0	0	0	0	115118156	246686952	335770672	77414400	0	0	87622984	0	72197476	100955063
2024-04-29	0	0	0	0	1576703403	0	175591365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262181499	0	0	30133680	0	0	0	494947172	0	0	0	0	0	0	0	0	0	0	0	105303520	304938773	0	0	0	0	0	0	0	0	0	103109678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20575848	0	0	0	0	0	0	754233581	102553930	0
2024-05-06	0	0	0	0	0	0	145177723	318986078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220821628	0	0	0	0	0	0	0	0	0	158176824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98897128	0	0	0	133456240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112301592	0	0	0	0	0	0	0
2024-05-13	0	0	0	0	0	252217486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196611377	0	112173420	71514175	0	0	0	0	0	0	0	88712912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54753318	143605723
2024-05-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60807389	0	0	0	0	0	0	0	0	134880972	0	0	0	16704540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100952274	0	0	0	0	0	0	0	170424428	0	0	0	0	0	0	0	55026720	38256672
2024-05-27	0	0	0	0	0	0	79375081	0	0	0	0	0	0	0	0	49213418	0	0	0	0	276162707	0	0	0	0	0	0	0	0	0	0	0	0	248623768	0	0	0	0	0	0	118915766	0	244908800	0	0	0	0	0	0	0	0	0	0	0	24827532	25554132	0	0	0	0	0	0	0	0	0	184783250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-03	0	0	0	0	2766774258	0	0	0	0	0	0	0	0	0	0	74471772	171215328	0	0	0	0	162298539	960865563	107631940	0	0	0	0	0	0	0	0	0	0	21355608	0	0	0	0	108504932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123500268	0	0	0	0	0	0	0
2024-06-10	0	0	0	0	36225924	0	0	0	0	0	0	0	0	0	0	12249996	0	0	0	0	23713896	0	0	23910420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155672345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204513940	0	0	0	0	0	0	9564168	0
2024-06-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7795452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58105596	0	0	0
2024-07-01	0	0	0	0	1418307861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	0	0	0	0	1409020798	1386990590	1435395322	15179306	0	0	0	0	0	0	0	2689242602	32437268	25742775	33058611	6291456	27472771	25165824	31782132	34784596	27470171	0	0	0	4389036	25666142	24173479	0	0	6150560	26113653	0	0	0	1397127634	28407098	6354276	6354276	21726916	0	0	0	0	0	0	0	37524551	26926852	12467260	5385251	5395770	31409548	0	0	0	0	0	46463132	33510252	31362846	5941466	13300700	29403450	0	0	0	0	0	32109728	7271388	33748608	30667432	0	0	13425194	32971962	1258666	31319918
2024-07-22	0	0	0	0	2144422837	849562206	1345267914	301634289	0	0	0	0	0	0	0	33995527	9957216	10022724	10088232	7009356	17883684	0	0	10022724	0	0	0	0	85323894	58483119	62011520	0	0	0	0	0	0	0	1379612081	13494648	0	0	0	0	0	0	0	0	0	0	0	12577536	0	9367644	8254008	11070852	22141704	0	0	0	0	0	9891708	14149728	0	10546788	10088232	0	0	0	0	0	4389036	10350264	12118980	0	0	0	12315504	0	10022724	14149728
2024-07-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45749894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	0	0	0	0	1382545855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7860960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7860960	0	0	0	0	0	0	0	0
