week_start	sub-01/sub-01_ses-01.nwb	sub-01/sub-01_ses-02.nwb	sub-01/sub-01_ses-03.nwb	sub-01/sub-01_ses-04.nwb	sub-01/sub-01_ses-20161214T171300_behavior+ecephys.nwb	sub-01/sub-01_ses-20161214T173600_behavior+ecephys.nwb	sub-01/sub-01_ses-20161217T121400_behavior+ecephys.nwb	sub-01/sub-01_ses-20161217T122800_behavior+ecephys.nwb	sub-02/sub-02_ses-01.nwb	sub-02/sub-02_ses-02.nwb	sub-02/sub-02_ses-03.nwb	sub-02/sub-02_ses-04.nwb	sub-02/sub-02_ses-05.nwb	sub-02/sub-02_ses-06.nwb	sub-02/sub-02_ses-07.nwb	sub-02/sub-02_ses-20160211T115600_behavior+ecephys.nwb	sub-02/sub-02_ses-20160211T120600_behavior+ecephys.nwb	sub-02/sub-02_ses-20160211T153300_behavior+ecephys.nwb	sub-02/sub-02_ses-20160212T165900_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-136ipd1_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1f4urbp_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1qctcfn_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1s87l12_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1uo96nx_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-lcaqlc_behavior+ecephys.nwb	sub-03/sub-03_ses-01.nwb	sub-03/sub-03_ses-02.nwb	sub-03/sub-03_ses-03.nwb	sub-03/sub-03_ses-20150304T165900_behavior+ecephys.nwb	sub-03/sub-03_ses-20150305T085500_behavior+ecephys.nwb	sub-03/sub-03_ses-20150306T173300_behavior+ecephys.nwb	sub-04/sub-04_ses-01.nwb	sub-04/sub-04_ses-02.nwb	sub-04/sub-04_ses-20170118T103700_behavior+ecephys.nwb	sub-04/sub-04_ses-20170118T104700_behavior+ecephys.nwb	sub-05/sub-05_ses-01.nwb	sub-05/sub-05_ses-02.nwb	sub-05/sub-05_ses-03.nwb	sub-05/sub-05_ses-20170706T115300_obj-17gax9n_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T115300_obj-18w1jo9_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T115300_obj-1m3bzkg_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T115300_obj-1uq55tf_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T141100_behavior+ecephys.nwb	sub-06/sub-06_ses-01.nwb	sub-06/sub-06_ses-02.nwb	sub-06/sub-06_ses-03.nwb	sub-06/sub-06_ses-04.nwb	sub-06/sub-06_ses-05.nwb	sub-06/sub-06_ses-06.nwb	sub-06/sub-06_ses-07.nwb	sub-06/sub-06_ses-20140827T165900_behavior+ecephys.nwb	sub-06/sub-06_ses-20140827T171200_behavior+ecephys.nwb	sub-06/sub-06_ses-20140827T172100_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T102600_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T145500_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T151000_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T152100_behavior+ecephys.nwb	sub-07/sub-07_ses-01.nwb	sub-07/sub-07_ses-02.nwb	sub-07/sub-07_ses-03.nwb	sub-07/sub-07_ses-04.nwb	sub-07/sub-07_ses-20160302T170100_behavior+ecephys.nwb	sub-07/sub-07_ses-20160303T164000_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-1d0jeko_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-1wdu15t_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-9hzkt8_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-boqvfp_behavior+ecephys.nwb	sub-08/sub-08_ses-01.nwb	sub-08/sub-08_ses-02.nwb	sub-08/sub-08_ses-03.nwb	sub-08/sub-08_ses-04.nwb	sub-08/sub-08_ses-05.nwb	sub-08/sub-08_ses-20170111T115400_behavior+ecephys.nwb	sub-08/sub-08_ses-20170111T120500_behavior+ecephys.nwb	sub-08/sub-08_ses-20170113T121400_behavior+ecephys.nwb	sub-08/sub-08_ses-20170113T121600_behavior+ecephys.nwb	sub-09/sub-09_ses-01.nwb	sub-09/sub-09_ses-02.nwb	sub-09/sub-09_ses-20150115T144300_obj-106jgmp_behavior+ecephys.nwb	sub-09/sub-09_ses-20150115T144300_obj-13cfy3x_behavior+ecephys.nwb	sub-09/sub-09_ses-20150115T144300_obj-1qba6e_behavior+ecephys.nwb	sub-09/sub-09_ses-20150115T144300_obj-u2fzwy_behavior+ecephys.nwb
2023-12-11	0	0	0	0	35125695	1410050764	23257147	24113327	0	0	0	0	0	0	0	22754802	24391119	35573175	30833299	26399068	29438851	28250941	28745269	26399068	29436251	0	0	0	36935544	28552750	29285287	0	0	0	0	0	0	0	22560005	1355186134	33977774	27800285	0	0	0	0	0	0	0	0	0	0	0	0	0	25380236	22707727	0	0	0	0	49090340	31960962	29527838	31020141	29527886	31020189	0	0	0	0	0	35767272	36176170	32768340	30291761	0	0	30667587	30512057	30513749	30667703
2023-12-18	0	0	0	0	33147048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-25	0	0	0	0	1382545855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-01	0	0	0	0	0	1381356902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1355186134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-08	0	0	0	0	10087084	0	0	5891079015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	0	0	0	0	1383856015	1397240492	10219671	9614846	0	0	0	0	0	0	0	21189922	9449702	11554071	5706587	8140452	1074051	12263505	37488016	32627316	48264995	0	0	0	8096904	16851932	14624003	0	0	8404684	2123381	0	0	0	3258890	1362998544	37818168	14313687	6704644	0	0	0	0	0	0	0	11415303	1621764	9856156	1890318	5830212	7793392	11275687	0	0	0	0	12430928	3342084	8799584	0	36297756	49062553	0	0	0	0	0	5766320	9663274	2232660	5181881	0	0	7915160	16713063	3668448	27425878
2024-01-29	0	0	0	0	1382545855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-05	0	0	0	0	5073048267	1988031348	1414507331	1392505007	0	0	0	0	0	0	0	508317132	620675867	1252064164	441767180	1474942768	407030744	665595476	1817663996	249699200	2883560712	0	0	0	157326900	513526524	285673680	0	0	2557610356	18594505	0	0	0	523342411	172627100	412901636	432187590	76896428	0	0	0	0	0	0	0	233823692	328097336	268890168	125776060	151287344	132838160	14027688	0	0	0	0	1056820880	870668732	807035048	190187032	742523664	603487016	0	0	0	0	0	129936924	165249580	482824656	22883366	0	0	312372328	124945496	261976280	48723500
2024-02-12	0	0	0	0	1382545855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-19	0	0	0	0	173064835	66824880	187881424	113936332	0	0	0	0	0	0	0	206858036	106344124	169340420	83029996	94213944	192295100	192374048	331047764	136084756	510616392	0	0	0	418273060	165409940	317781548	0	0	348197420	56930932	0	0	0	52799448	116671988	138246520	334128880	417825704	0	0	0	0	0	0	0	230784684	117353948	329023736	195166252	84193460	140803572	206232624	0	0	0	0	322030060	83886080	99201512	198680736	156923020	156363873	0	0	0	0	0	225701940	348147592	404168132	149660592	0	0	324169424	112946992	145124860	340401968
2024-02-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7860960	0	0	0	0	0	0	0
2024-03-04	0	0	0	0	2804469817	1381356902	0	2785010014	0	0	0	0	0	0	0	1200856016	0	0	0	0	0	45593568	5615988079	2143474012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72713880	0	0	0	0	0	0	0	0	0	17425128	0	0	0	113263332	0	0	0	0	0	0	0	0	0	2708639566	5388806458	0	0	0	0	0	0	0	0	0	0	0	188269992	648590724	0	0
2024-03-11	0	0	0	0	2872204345	24403412	11964259	52466993	0	0	0	0	0	0	0	370613916	95167271	332618405	33843427	10671136	61315488	29411643	3209892	22439044	2095451	0	0	0	4389036	54972126	126561456	0	0	35734282	34898501	0	0	0	67511137	39793078	2479534	17128113	17002164	0	0	0	0	0	0	0	5560963	31745802	64197840	21165162	28213644	32236014	28109010	0	0	0	0	3890980	33929870	4881282	29246370	30704504	235566768	0	0	0	0	0	264435600	319351500	40469404	11315505	0	0	25398758	4411421	27297289	33379984
2024-03-18	0	0	0	0	21629606	20855322	118230299	12840779	0	0	0	0	0	0	0	16772970	149363905	20394933	32991019	51855664	28916746	23914755	3087946	17791504	14554035	0	0	0	11177748	8635254	16908374	0	0	22062792	19205832	0	0	0	24893782	27229818	4959068	25251105	12116380	0	0	0	0	0	0	0	27577557	30611952	20812020	28871469	39311502	23923552	18114082	0	0	0	0	21695664	25437408	120418926	17204848	29090674	16829665	0	0	0	0	0	17011184	40308048	10135000	26775393	0	0	25330790	14284134	10242574	17077014
2024-03-25	0	0	0	0	792512199	20396766	10446357	13694805	0	0	0	0	0	0	0	3531466482	18653927	8872731	14427242	5489336	6419784	8124437	14252525	11843612	11170137	0	0	0	2619726252	30121878	24372631	0	0	603937700	12708552	0	0	0	181191296	151360090	16272412	30487287	18012100	0	0	0	0	0	0	0	18385038	15382932	17093392	20617461	4196980	20844676	18638146	0	0	0	0	2546161684	14132202	12456668	200416012	12643044	18395966	0	0	0	0	0	8233112	14672886	10397032	25185822	0	0	204876748	21231372	15897353	18387174
2024-04-01	0	0	0	0	6421184	8895178	1364027	2425007	0	0	0	0	0	0	0	3278322	12168635	0	6681816	6419784	6381329486	0	8160281	6186783068	6373321051	0	0	0	0	1543745070	6354276	0	0	0	2565435870	0	0	0	1377876490	1357668268	1365140750	1375220445	8907788	0	0	0	0	0	0	0	2782384045	2565828482	8924416	6354276	2450022580	2683289464	2506174850	0	0	0	0	2535392364	2731729152	2821918	2614381	6419784	2703377825	0	0	0	0	0	2448593020	1790250	0	2397280707	0	0	5941839494	5830021150	1944149	138511311
2024-04-08	0	0	0	0	130942732	0	0	77547615	0	0	0	0	0	0	0	0	0	101314137	0	0	0	0	0	1129389120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31317772	0	198979700	0	0	0	49728763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191780908	0
2024-04-15	0	0	0	0	59025855	67992042	52564027	58949807	0	0	0	0	0	0	0	1682093421	79876775	95028023	43981459	53452800	82584451	104155297	71591049	0	95539200	0	0	0	40960000	153250534	0	0	0	0	714988796	0	0	0	36684480	24	0	0	0	0	0	0	0	0	0	0	0	0	0	157333828	128198520	0	0	0	0	0	0	55943832	2769316870	55861566	0	0	83784732	0	0	0	0	0	146379820	419198036	2386821460	0	0	0	0	0	0	0
2024-04-22	0	0	0	0	10917415	148958904	0	0	0	0	0	0	0	0	0	0	0	0	109903085	0	110673797	0	924246510	132485056	0	0	0	0	0	0	36343879	0	0	87987416	67722089	0	0	0	0	67589476	26834276	20394661	306733172	0	0	0	0	0	0	0	154226094	99640676	108299508	48495651	73318400	109573516	87807444	0	0	0	0	20480000	97415042	73728000	69276781	57571528	39981041	0	0	0	0	0	115118156	246686952	315290672	77414400	0	0	60723200	0	45363200	60711863
2024-04-29	0	0	0	0	1382545855	0	175591365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262181499	0	0	30133680	0	0	0	494947172	0	0	0	0	0	0	0	0	0	0	0	105303520	304938773	0	0	0	0	0	0	0	0	0	103109678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20575848	0	0	0	0	0	0	733753581	84838730	0
2024-05-06	0	0	0	0	0	0	145177723	318986078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220821628	0	0	0	0	0	0	0	0	0	158176824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98897128	0	0	0	133456240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112301592	0	0	0	0	0	0	0
2024-05-13	0	0	0	0	0	252217486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196611377	0	112173420	71514175	0	0	0	0	0	0	0	88712912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54753318	143605723
2024-05-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60807389	0	0	0	0	0	0	0	0	134880972	0	0	0	16704540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100952274	0	0	0	0	0	0	0	170424428	0	0	0	0	0	0	0	55026720	38256672
2024-05-27	0	0	0	0	0	0	79375081	0	0	0	0	0	0	0	0	49213418	0	0	0	0	276162707	0	0	0	0	0	0	0	0	0	0	0	0	248623768	0	0	0	0	0	0	118915766	0	244908800	0	0	0	0	0	0	0	0	0	0	0	24827532	25554132	0	0	0	0	0	0	0	0	0	184783250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-03	0	0	0	0	1384226083	0	0	0	0	0	0	0	0	0	0	74471772	171215328	0	0	0	0	162298539	960865563	107631940	0	0	0	0	0	0	0	0	0	0	21355608	0	0	0	0	108504932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123500268	0	0	0	0	0	0	0
2024-06-10	0	0	0	0	36225924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23713896	0	0	23910420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155672345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204513940	0	0	0	0	0	0	9564168	0
2024-06-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7795452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-01	0	0	0	0	23114960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	0	0	0	0	26474943	5633688	1433768176	15179306	0	0	0	0	0	0	0	2682102230	32437268	25742775	33058611	6291456	27472771	25165824	6616308	34784596	27470171	0	0	0	0	25666142	24173479	0	0	6150560	6029312	0	0	0	1397127634	22052822	6354276	6354276	21726916	0	0	0	0	0	0	0	31913204	5955332	12467260	5385251	5395770	5505024	0	0	0	0	0	13825212	32240744	31362846	0	6029312	29403450	0	0	0	0	0	32109728	7271388	33748608	22675456	0	0	13425194	6419784	1258666	0
2024-07-22	0	0	0	0	1662693543	641743591	1146165051	236352922	0	0	0	0	0	0	0	33995527	9957216	10022724	10088232	0	0	0	0	10022724	0	0	0	0	70855266	38253096	62011520	0	0	0	0	0	0	0	1379612081	13494648	0	0	0	0	0	0	0	0	0	0	0	12577536	0	9367644	8254008	11070852	22141704	0	0	0	0	0	9891708	14149728	0	10546788	10088232	0	0	0	0	0	4389036	10350264	12118980	0	0	0	12315504	0	10022724	14149728
2024-07-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36398797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	0	0	0	0	1382545855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7860960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	0	0	0	0	23779404	25417104	9957216	25220580	0	0	0	0	0	0	0	8319516	10481280	14149728	10022724	10088232	18997320	10088232	21947420	9498660	7402404	0	0	0	20372988	7533420	23255340	0	0	16966572	8778072	0	0	0	22665768	0	11332884	0	24172452	0	0	0	0	0	0	0	17359620	19914432	8909088	8843580	8974596	6354276	13429140	0	0	0	0	2548493964	23517372	0	2699447297	24106944	9695184	0	0	0	0	0	0	0	26530740	6354276	0	0	5437164	16966572	5844662185	0
