week_start	sub-Lalo/sub-Lalo_ses-20230120_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230120_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230123_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230123_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230125_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230125_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230208_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230208_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230209_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230209_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230210_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230210_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230214_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230214_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230215_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230215_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230216_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230216_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230217_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230217_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230221_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230221_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230222_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230222_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230223.nwb	sub-Lalo/sub-Lalo_ses-20230223_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230228.nwb	sub-Lalo/sub-Lalo_ses-20230228_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230303_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230303_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230307_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230307_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230308_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230308_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230309_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230309_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230315.nwb	sub-Lalo/sub-Lalo_ses-20230315_ecephys.nwb	sub-Lalo/sub-Lalo_ses-20230317_behavior.nwb	sub-Lalo/sub-Lalo_ses-20230317_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20221220.nwb	sub-Offenbach/sub-Offenbach_ses-20221220_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20221222_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20221222_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20221223_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230109.nwb	sub-Offenbach/sub-Offenbach_ses-20230109_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230110_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230110_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230112_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230112_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230113_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230113_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230117_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230117_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230120_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230120_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230123_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230123_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230125_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230125_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230202_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230202_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230203_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230203_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230207_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230207_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230208_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230208_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230209_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230209_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230210_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230210_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230214_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230214_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230215_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230215_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230216_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230216_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230217_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230217_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230221_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230221_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230222_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230222_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230223.nwb	sub-Offenbach/sub-Offenbach_ses-20230223_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230228.nwb	sub-Offenbach/sub-Offenbach_ses-20230228_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230301_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230301_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230303_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230303_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230308_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230308_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230309_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230309_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230315.nwb	sub-Offenbach/sub-Offenbach_ses-20230315_ecephys.nwb	sub-Offenbach/sub-Offenbach_ses-20230317_behavior.nwb	sub-Offenbach/sub-Offenbach_ses-20230317_ecephys.nwb
2025-12-15	133921722	11189489735	138545923	8188500	248094275	8254008	195865468	16508016	247196913	12184488	267533375	66525078	303440053	12905076	258005001	12315504	201305638	53694822	261409220	18080208	255207517	12577536	305726877	10743312	54693892	16049460	69415264	8254008	257046417	18538764	283544162	11725932	421145696	13232616	233868119	19010577302	103046236	14018712	195736686	18538764	126721572	48590996	377130068	16301261578	111745686	68976460	12184488	118358227	13129360671	412755344	18006542658	333905908	18342240	171385039	12118980	105618593	11632508472	153097267	13691172	188971910	18473256	162469778	14084220	181740750	16311492	237562840	68146740	258349401	15394380	202606840	54623480	278065244	65476950	240334576	12381012	287268908	16180476	202274130	8254008	259403117	17097588	195675650	59447786	236801826	22454099372	53626872	15066840	100643144	10939836	477791410	18080208	288674441	14411760	170830234	13429140	223295456	20220026126	108103780	18407748	175356297	14542776
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	16309879446	0	0	0	0	0	0	0	0	0	0	0	15960280897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87148496	0	0	20180060104	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	16132068994	234927167	25056077100	0	15676544365	0	15379593877	0	0	0	16309879446	0	15516307782	187548958	0	0	36458945018	0	17648639687	0	43080786979	0	15960280897	0	18740822820	0	41426654886	0	19011185433	0	16693984555	0	18994855382	0	23290501145	0	18768875709	0	15369549736	0	16286653294	0	0	31604410104	100867591	0	0	17996061378	0	24122743518	0	17440380813	0	0	0	32612048962	0	25451245786	0	15792582034	0	26502624516	0	0	0	17459962435	0	0	263915516	48706902	0	16561272854	0	16823171150	0	31099702738	248987345	20249361643	181394906	0	0	22440211676	0	17827296417	0	37713131127	0	20180060104	0	23005625413	0	17350759632	0	20204697254	0	26212260288	161337585	20096263675
2026-01-05	346148874	0	0	0	0	0	185056648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288563781	0	0	0	0	18740822820	0	0	0	19011185433	0	0	0	0	0	0	0	0	46125336	40277676	0	0	0	0	0	0	13113507735	0	0	0	24122743518	0	0	0	0	138226951	0	0	25451245786	0	0	0	0	0	0	0	0	0	37329368	0	0	0	0	275215436	0	0	0	0	20249361643	0	0	0	0	43014576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	0	0	0	0	0	690691023	0	0	0	0	16256496892	0	0	562646874	108612558	748656816	0	0	8284270084	0	0	0	6381798700	177588048	7623887920	0	0	819385170	9064908608	607546092	0	0	13382308312	0	0	0	0	212116152	0	0	10664384984	0	0	0	302602773	0	606850266	9102837740	0	0	0	8496069792	0	0	414680853	0	536061462	0	0	0	0	0	0	154719648	0	14511076856	0	0	0	0	0	0	0	0	553760910	0	0	0	544184718	0	0	17020111500	0	0	261445488	0	699491265	3870536784	0	0	0	0	0	16095785260	0	8678108360	0	10793231056
2026-01-19	115382958	0	0	16132068994	704781501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217818659	0	0	0	177197922	0	19917856	18367024	1038089972	0	0	0	17513812640	0	0	0	0	0	0	0	8868757148	0	11617310616	0	0	0	0	152643578	0	0	0	674759388	0	0	0	569891388	0	0	0	0	0	0	0	0	0	0	0	0	44773994	0	0	0	0	0	0	0	0	0	42599653149	0	0	0	0	0	0	0	0
2026-01-26	0	11171016479	0	0	0	0	0	0	0	0	0	0	289486849	5225291600	0	15516307782	0	0	249552272	0	242760997	17648639687	0	43080786979	0	0	59196016	0	0	0	0	0	0	16693984555	0	0	83066296	23290501145	0	18768875709	101957836	15397689844	359246384	0	99168150	0	0	0	0	0	0	315694684	0	155597611	0	94940789	0	0	0	0	0	0	15792582034	0	0	224919796	0	240007161	17459962435	0	0	0	0	222909448	0	0	16823171150	0	0	0	0	0	0	222783114	0	0	17827296417	0	0	0	0	276883001	0	154060186	17350759632	213403748	0	99915280	26212260288	0	0
2026-02-02	0	0	127082023	0	0	25056077100	0	15676544365	230230341	15379593877	250894343	48706902	0	0	240252333	0	0	36204186	0	0	0	0	0	0	41788816	0	0	0	242176101	0	273128390	0	0	0	0	0	0	0	0	0	20245396	18432532	0	0	0	60787960	0	0	0	0	0	0	0	0	17440380813	0	0	0	0	0	0	0	0	164839686	26502624516	0	51573216	0	0	189963796	0	0	0	0	16561272854	0	0	184586970	0	0	0	0	0	0	0	0	0	0	37713131127	0	0	0	0	0	0	0	0	0	0	0	20096263675
2026-02-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20834968	20987344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11617310616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	18498084	11214099	17974020	0	18956640	0	10526448	0	9085272	10424048	10460940	59130950	12164148	0	0	0	0	36204186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10548500	9052496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37329368	0	26072184	0	0	0	0	0	0	0	0	0	44773994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	5743562	5318379	0	4640614	5647679	0	0	0	0	0	0	0	0	0	0	0	5635502	9440936	249552272	0	6211109	0	5933893	4910231	0	4446301	0	4521024	0	0	0	0	6507600	4781499	0	4564694	0	0	0	4516313	90950780	18563548	0	4797438	13503888	5075724	4476056	6108599	0	6048772	4776814	327830860	5157602	5370923	4915173	94940789	4464820	6313311	0	0	0	5386490	9415832	0	0	5507600	0	6578229	0	0	4489972	0	4632122	0	0	5852380	4514154	0	6671521	5871294	0	6247464	4459398	0	4636096	0	4832561	0	0	0	4984864	0	0	5770822	0	0	0	0	0	0	4493079
2026-03-02	0	0	6309643	4313074	0	4656628	5273252	4853217	5288545	0	5529779	4894154	5779517	3861678	5443245	0	0	0	5854724	4388405	0	0	0	0	0	0	5544592	0	6465753	4625463	6100194	4903793	0	0	0	0	5396040	4464949	6631280	0	10286468	4526248	5812928	0	0	0	0	0	0	0	0	0	0	0	0	5662441	0	6247803	0	6063482	4925746	0	0	6154992	4505120	0	0	0	0	5658248	0	5759228	0	6107408	5107738	0	0	5970654	0	0	4503047	0	0	5382026	0	5046904	0	5595316	0	0	0	0	0	0	4902268	6533308	4681582	5291792	4444892	5880574	0
2026-03-09	0	0	0	0	0	0	0	0	0	4469681	0	0	0	0	0	5200174	0	0	0	0	0	4638691	0	0	5180960	0	0	0	0	0	0	0	0	0	6368835	0	0	0	0	0	0	0	0	0	0	0	0	0	4823079	0	0	0	0	0	0	0	0	0	4552993	0	0	0	0	0	0	0	4893268	0	4938395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4464531	6362207	0	6541113	5055589	0	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	15656412	0	19521384	0	0	0	0	0	0	19193844	0	0	19324860	0	0	27578868	0	0	14346252	0	0	24958548	0	18211224	0	11660424	0	25744644	29478600	0	0	19324860	0	0	0	0	28633844	26252768	0	22338228	0	0	22731276	23320848	19717908	14215236	25286088	0	6747324	0	0	0	0	4913100	22993308	21093576	15066840	0	0	0	0	0	0	0	0	0	12184488	13298124	19848924	0	0	26530740	0	0	15394380	20045448	17687160	16180476	0	0	16180476	22141704	0	21879672	0	16573524	27971916	0	0	0	0	0	13494648	0	0	21552132	0
2026-03-23	4639004	0	1101572	0	1588744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139883546	6301160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6485292	0	16835557	0	0	0	0	0	0	0	0
