week_start	sub-F1-2/sub-F1-2_ses-20240522.nwb	sub-F1-3/sub-F1-3_ses-20240522.nwb	sub-F1/sub-F1_ses-20240522.nwb	sub-F10/sub-F10_ses-20240522.nwb	sub-F2-2/sub-F2-2_ses-20240522.nwb	sub-F2-3/sub-F2-3_ses-20240522.nwb	sub-F2-4/sub-F2-4_ses-20240522.nwb	sub-F2-5/sub-F2-5_ses-20240522.nwb	sub-F2-6/sub-F2-6_ses-20240522.nwb	sub-F2-7/sub-F2-7_ses-20240522.nwb	sub-F2-8/sub-F2-8_ses-20240522.nwb	sub-F2/sub-F2_ses-20240522.nwb	sub-F3-2/sub-F3-2_ses-20240522.nwb	sub-F3-3/sub-F3-3_ses-20240522.nwb	sub-F3-4/sub-F3-4_ses-20240522.nwb	sub-F3-5/sub-F3-5_ses-20240522.nwb	sub-F3/sub-F3_ses-20240522.nwb	sub-F7/sub-F7_ses-20240522.nwb	sub-F9/sub-F9_ses-20240522.nwb	sub-IS158/sub-IS158_ses-20240522.nwb	sub-IS261/sub-IS261_ses-20240522.nwb	sub-IS262/sub-IS262_ses-20240522.nwb	sub-IS264/sub-IS264_ses-20240522.nwb	sub-M1/sub-M1_ses-20240522.nwb	sub-M2-2/sub-M2-2_ses-20240522.nwb	sub-M2-3/sub-M2-3_ses-20240522.nwb	sub-M2/sub-M2_ses-20240522.nwb	sub-M3-2/sub-M3-2_ses-20240522.nwb	sub-M3-3/sub-M3-3_ses-20240522.nwb	sub-M3/sub-M3_ses-20240522.nwb	sub-M4/sub-M4_ses-20240522.nwb	sub-M945/sub-M945_ses-20240522.nwb	sub-R149/sub-R149_ses-20240522.nwb	sub-R152/sub-R152_ses-20240522.nwb	sub-R155/sub-R155_ses-20240522.nwb	sub-WT002/sub-WT002_ses-20240522.nwb	sub-WT10/sub-WT10_ses-20240522.nwb	sub-WT11/sub-WT11_ses-20240522.nwb	sub-WT5/sub-WT5_ses-20240522.nwb	sub-WT6/sub-WT6_ses-20240522.nwb	sub-WT7/sub-WT7_ses-20240522.nwb	sub-WT8/sub-WT8_ses-20240522.nwb	sub-WT9/sub-WT9_ses-20240522.nwb	sub-WT997/sub-WT997_ses-20240522.nwb	sub-WTPV1/sub-WTPV1_ses-20240522.nwb	sub-WTPV2/sub-WTPV2_ses-20240522.nwb
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56888	0	0	198984	2143288	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	699064	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905040	0	0	0	0	0	0	0	0	0	905040	0	0	0	0	0	0	0	0	0	0	68992	0	68992	0	0	68992	0	0	0
2026-01-12	1398128	706368	1398128	2715120	905040	2796256	699064	1398128	1398128	1398128	142952	2715120	2097192	2417448	1398128	428856	1810080	905040	905040	89384	89384	268152	0	1398128	2417448	699064	905040	699064	699064	1810080	0	170664	591088	198984	397968	2143288	0	68992	218952	137984	1345032	206976	206976	113776	0	59936
2026-01-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68992	0	0	0	0
2026-01-26	0	0	0	0	0	0	0	0	0	0	142952	905040	0	0	0	0	0	0	0	0	0	89384	2464864	0	0	699064	0	699064	0	0	0	0	0	0	0	0	1983256	0	0	0	0	0	0	0	0	29968
2026-02-16	1977056	0	289464	1486320	1195680	988528	1277992	1977056	1277992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	988528	1059552	1687592	2391360	0	0	0	0	699064	0	142952	1486320	0	0	0	0	905040	1707680	905040	0	0	178768	3905728	699064	0	0	0	0	0	0	2544648	0	0	0	0	709688	0	0	72984	68992	0	0	68992	0	0	0
2026-03-02	0	0	0	905040	0	1380392	0	699064	0	1380392	0	0	1380392	0	1380392	0	0	905040	0	89384	89384	0	0	0	703416	1380392	905040	0	0	0	0	113776	295544	0	397968	0	549656	68992	0	0	448344	137984	0	0	29968	0
2026-03-09	0	0	681328	0	0	0	0	0	0	0	0	0	0	1509232	0	142952	0	0	0	0	0	0	0	0	0	0	0	0	0	1707680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	0	0	1398128	0	0	0	0	699064	805816	0	0	0	0	0	178768	0	0	0	0	805816	0	0	0	699064	0	0	0	295544	0	198984	2143288	0	0	72984	0	0	0	0	56888	0	0
2026-03-23	886128	148384	187064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
