week_start	sub-F1-2/sub-F1-2_ses-20240522.nwb	sub-F1-3/sub-F1-3_ses-20240522.nwb	sub-F1/sub-F1_ses-20240522.nwb	sub-F10/sub-F10_ses-20240522.nwb	sub-F2-2/sub-F2-2_ses-20240522.nwb	sub-F2-3/sub-F2-3_ses-20240522.nwb	sub-F2-4/sub-F2-4_ses-20240522.nwb	sub-F2-5/sub-F2-5_ses-20240522.nwb	sub-F2-6/sub-F2-6_ses-20240522.nwb	sub-F2-7/sub-F2-7_ses-20240522.nwb	sub-F2-8/sub-F2-8_ses-20240522.nwb	sub-F2/sub-F2_ses-20240522.nwb	sub-F3-2/sub-F3-2_ses-20240522.nwb	sub-F3-3/sub-F3-3_ses-20240522.nwb	sub-F3-4/sub-F3-4_ses-20240522.nwb	sub-F3-5/sub-F3-5_ses-20240522.nwb	sub-F3/sub-F3_ses-20240522.nwb	sub-F7/sub-F7_ses-20240522.nwb	sub-F9/sub-F9_ses-20240522.nwb	sub-IS158/sub-IS158_ses-20240522.nwb	sub-IS261/sub-IS261_ses-20240522.nwb	sub-IS262/sub-IS262_ses-20240522.nwb	sub-IS264/sub-IS264_ses-20240522.nwb	sub-M1/sub-M1_ses-20240522.nwb	sub-M2-2/sub-M2-2_ses-20240522.nwb	sub-M2-3/sub-M2-3_ses-20240522.nwb	sub-M2/sub-M2_ses-20240522.nwb	sub-M3-2/sub-M3-2_ses-20240522.nwb	sub-M3-3/sub-M3-3_ses-20240522.nwb	sub-M3/sub-M3_ses-20240522.nwb	sub-M4/sub-M4_ses-20240522.nwb	sub-M945/sub-M945_ses-20240522.nwb	sub-R149/sub-R149_ses-20240522.nwb	sub-R152/sub-R152_ses-20240522.nwb	sub-R155/sub-R155_ses-20240522.nwb	sub-WT002/sub-WT002_ses-20240522.nwb	sub-WT10/sub-WT10_ses-20240522.nwb	sub-WT11/sub-WT11_ses-20240522.nwb	sub-WT5/sub-WT5_ses-20240522.nwb	sub-WT6/sub-WT6_ses-20240522.nwb	sub-WT7/sub-WT7_ses-20240522.nwb	sub-WT8/sub-WT8_ses-20240522.nwb	sub-WT9/sub-WT9_ses-20240522.nwb	sub-WT997/sub-WT997_ses-20240522.nwb	sub-WTPV1/sub-WTPV1_ses-20240522.nwb	sub-WTPV2/sub-WTPV2_ses-20240522.nwb
2024-10-28	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-04	699064	0	699064	0	0	0	699064	0	0	699064	0	0	699064	805816	699064	142952	0	0	905040	0	0	89384	2161764	1398128	0	699064	905040	0	0	905040	0	0	295544	0	198984	2143288	1983256	68992	72984	68992	0	68992	0	0	29968	0
2024-11-11	0	0	0	0	905040	0	0	0	0	699064	0	905040	699064	805816	699064	142952	0	905040	905040	0	0	0	0	699064	0	0	0	0	699064	905040	0	0	0	0	198984	2143288	1983256	0	0	68992	0	0	0	56888	29968	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1810080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2143288	0	0	0	0	0	0	0	0	0	0
2025-02-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56888	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	333912	0	303608	319248	319248	344336	202432	232736	303608	161784	0	258720	232656	301608	131480	0	230576	172128	60528	0	0	0	478800	141904	230576	30304	28144	70952	101176	230576	331360	0	53144	53144	53144	687360	0	0	0	0	98320	0	0	0	0	0
2025-03-10	0	0	0	0	0	0	0	0	0	0	0	0	699064	0	0	0	0	0	0	0	0	0	0	187064	0	0	0	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29968
2025-03-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178768	89384	89384	2464864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	0	204608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143640	0	0	0	0	0	0	0	0	0	68760	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	0	153456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239400	0	0	0	0	0	0	0	0	0	68760	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	699064	0	905040	0	0	0	0	0	0	905040	0	0	0	0	0	0	0	0	0	0	0	699064	0	0	0	0	699064	0	2544648	0	0	0	198984	2143288	0	0	0	68992	448344	0	0	56888	0	0
2025-08-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89384	0	89384	0	0	805816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-11	0	0	0	0	0	0	0	699064	0	699064	0	0	0	0	0	0	0	0	905040	0	0	0	0	0	0	699064	0	0	0	0	0	0	0	0	0	0	0	0	72984	0	0	0	68992	0	0	0
2025-08-18	699064	0	0	0	0	0	0	0	699064	0	0	0	0	0	0	0	0	228496	0	0	0	0	0	0	0	0	905040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	905040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905040	0	0	0	0	699064	0	699064	0	699064	0	0	2544648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	699064	0	0	0	142952	0	0	0	0	142952	0	0	0	0	89384	0	0	131480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29968
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	1810080	0	0	0	0	0	1810080	0	0	0	0	0	0	0	0	0	0	0	905040	0	0	0	0	0	0	1983256	0	0	0	0	68992	0	0	29968	0
2025-09-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65544	0	0	0	0	0
2025-10-06	0	0	1835048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	2796256	706368	2097192	1810080	1810080	1398128	2097192	1398128	1398128	2097192	285904	1810080	2097192	2417448	2796256	428856	2715120	1810080	1810080	357536	357536	178768	4929728	2097192	2417448	2097192	1810080	1398128	699064	1810080	7633944	170664	886632	596952	397968	6429864	7933024	275968	291936	206976	896688	275968	206976	227552	119872	29968
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56888	0	0	198984	2143288	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	699064	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905040	0	0	0	0	0	0	0	0	0	905040	0	0	0	0	0	0	0	0	0	0	68992	0	68992	0	0	68992	0	0	0
2026-01-12	1398128	706368	1398128	2715120	905040	2796256	699064	1398128	1398128	1398128	285904	2715120	2097192	2417448	1398128	428856	2715120	905040	1810080	89384	89384	268152	0	1398128	2417448	699064	905040	699064	699064	2715120	0	170664	591088	198984	397968	2143288	0	137984	218952	137984	1345032	206976	206976	113776	29968	89904
2026-01-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89384	0	0	0	0	0	0	0	0	905040	0	0	0	0	0	0	0	0	0	0	0	68992	0	0	0	0
2026-01-26	0	0	0	0	0	0	0	0	0	0	142952	905040	0	0	0	0	0	0	0	0	0	89384	2464864	0	0	699064	0	699064	0	0	0	0	0	0	0	0	1983256	0	0	0	0	0	0	0	0	29968
2026-02-16	1977056	148384	578928	1486320	1195680	1277992	1277992	1977056	1277992	0	0	1195680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	988528	1207936	1687592	2391360	0	0	0	0	1380392	0	142952	1486320	0	0	0	0	905040	1707680	905040	0	0	178768	3905728	699064	0	0	0	0	699064	0	2544648	0	0	198984	0	709688	0	0	145968	68992	0	0	68992	0	0	0
2026-03-02	0	0	0	905040	0	1380392	0	699064	0	1380392	0	0	1380392	0	1380392	0	0	905040	0	89384	89384	0	0	0	703416	1380392	905040	0	0	0	0	113776	591088	0	397968	0	549656	137984	0	0	448344	137984	0	0	59936	0
2026-03-09	0	0	681328	0	0	0	0	0	0	0	0	0	0	1509232	0	142952	0	0	0	0	0	0	0	0	0	0	0	0	0	1707680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	0	0	1398128	699064	0	0	0	699064	1611632	0	0	0	0	0	178768	0	0	2464864	0	805816	0	0	0	699064	0	0	56888	295544	0	397968	2143288	0	0	145968	0	0	0	0	56888	0	0
2026-03-23	886128	148384	187064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	0	0	0	0	0	0	0	0	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805816	0	0	0	699064	0	0	0	0	0	198984	0	0	0	0	0	0	0	0	0	0	0
