week_start	sub-F/sub-F_ses-20240213T110430_ophys.nwb	sub-F/sub-F_ses-20240220T093333_ophys.nwb	sub-F/sub-F_ses-20240223T092813_ophys.nwb	sub-F/sub-F_ses-20240227T101624_ophys.nwb	sub-F/sub-F_ses-20240229T104523_ophys.nwb	sub-F/sub-F_ses-20240305T093611_ophys.nwb	sub-F/sub-F_ses-20240307T091711_ophys.nwb	sub-F/sub-F_ses-20240312T101306_ophys.nwb	sub-F/sub-F_ses-20240319T102114_ophys.nwb	sub-Q/sub-Q_ophys.nwb	sub-Q/sub-Q_ses-20220915T133954_ophys.nwb	sub-Q/sub-Q_ses-20220922T131747_ophys.nwb	sub-Q/sub-Q_ses-20220922T133032_ophys.nwb	sub-Q/sub-Q_ses-20221003T131952_ophys.nwb	sub-Q/sub-Q_ses-20221003T134805_ophys.nwb	sub-Q/sub-Q_ses-20221028T121142_ophys.nwb	sub-Q/sub-Q_ses-20221028T123313_ophys.nwb	sub-Q/sub-Q_ses-20221201T132256_ophys.nwb	sub-Q/sub-Q_ses-20221201T134628_ophys.nwb	sub-Q/sub-Q_ses-20221202T122907_ophys.nwb	sub-Q/sub-Q_ses-20221202T125146_ophys.nwb	sub-Q/sub-Q_ses-20221206T121002_ophys.nwb	sub-Q/sub-Q_ses-20221206T123719_ophys.nwb	sub-U/sub-U_ses-20230224T115503_ophys.nwb	sub-U/sub-U_ses-20230224T122552_ophys.nwb	sub-U/sub-U_ses-20230227T151454_ophys.nwb	sub-U/sub-U_ses-20230227T153955_ophys.nwb	sub-U/sub-U_ses-20230301T110609_ophys.nwb	sub-U/sub-U_ses-20230301T112849_ophys.nwb	sub-U/sub-U_ses-20230307T113820_ophys.nwb	sub-U/sub-U_ses-20230307T120713_ophys.nwb	sub-U/sub-U_ses-20230314T101238_ophys.nwb	sub-U/sub-U_ses-20230314T104225_ophys.nwb	sub-U/sub-U_ses-20230316T101901_ophys.nwb	sub-U/sub-U_ses-20230316T103740_ophys.nwb	sub-U/sub-U_ses-20230321T103827_ophys.nwb	sub-U/sub-U_ses-20230321T111116_ophys.nwb	sub-U/sub-U_ses-20230323T110437_ophys.nwb	sub-U/sub-U_ses-20230323T113706_ophys.nwb	sub-U/sub-U_ses-20230328T104626_ophys.nwb	sub-U/sub-U_ses-20230328T111837_ophys.nwb	sub-V/sub-V_ses-20230309T104556_ophys.nwb	sub-V/sub-V_ses-20230309T110929_ophys.nwb	sub-V/sub-V_ses-20230316T091221_ophys.nwb	sub-V/sub-V_ses-20230316T094035_ophys.nwb
2025-08-18	0	0	0	0	0	0	0	0	0	157286400	0	0	0	0	1350767368	0	0	0	835445412	0	0	0	0	0	0	20156595224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34386491328	0
2025-08-25	0	0	0	0	0	8824273192	0	0	0	0	0	0	1099729952	1224069024	0	943718400	0	0	0	1411563432	0	0	0	0	0	0	0	12875497960	0	16095641600	0	0	0	0	0	0	0	0	9070182400	0	0	0	0	0	0
2025-09-01	0	16657204760	0	12320768000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15773061976	0	0	0	0	0	0	0	34784476072	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	6973030400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629145600	0	0	0	0	7763121576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10358930732	0	0	0	0	0	0	0	0
2025-09-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21319418824	0	0
2025-10-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25543272	0	0
2025-11-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15080032	0	0
2025-11-10	13593040332	0	0	0	0	3067195656	12789799604	12582208644	9394557208	1580281712	2356536816	2363537496	0	3391856448	4681447704	4671618672	2235689456	3313981784	2506336236	3137699664	2724887592	38464571768	900794592	4317305524	17771735992	4887782040	0	0	12337434168	0	19133361752	13707480864	30947322692	6207075768	23798635492	24740043432	0	0	15847632680	0	12305553120	5629412044	19314112040	13352662856	14158240404
2025-11-17	15459888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24738513964	21336242232	0	0
2025-12-01	2533192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	12403575540	0	19324860	8319516	6550800	14346252	8254008	12585178008	12634683616	800360104	1187308512	797541016	1571589152	1709357364	1579807428	1574172796	1124526544	14346252	1392817180	10415772	913929552	0	17359620	8319516	4127004	10939836	9769372144	16442508	12355645392	8254008	13207856984	14215236	17883684	14411760	0	0	10219248	14306373864	17818176	15411821056	14477268	16627643108	10667701388	15328872	10251481280
2025-12-22	0	24783668760	24789419644	24754162152	24801436224	0	43606857840	0	7035944960	454596536	0	662016712	0	0	0	0	0	0	0	0	0	0	0	24685957976	4091019576	24717900824	15043320856	24776835560	0	24686749928	0	49464540072	34381954824	0	0	0	0	24888633888	15847632680	24721217416	15412603808	24738513964	0	40693675968	6967787520
2025-12-29	0	0	15576596480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1148431532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9823693728	0	6952993252	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	870318080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	0	0	5223597352	5514329720	0	4475831200	0	0	1575691664	0	1685442464	4348633636	2148896152	1128330488	0	1681376584	0	0	9417091960	0	0	15341157432	0	837540784	0	0	0	17951438136	0	0	0	11096021376	0	0	6681571172	0	6793627484	0	6668207540	0	0	899666560
2026-01-19	0	0	0	0	0	0	0	7811543608	0	2370422568	0	0	0	0	954204160	0	0	1656990892	0	0	0	0	470878432	0	0	0	0	0	0	0	0	0	21762342664	3931665848	16659752376	16084385052	0	0	0	0	0	0	10628392420	14624761908	0
2026-01-26	6448742400	11565793280	0	13371869672	0	0	0	0	0	0	0	0	800885792	746966944	0	844103680	0	0	0	913489832	440401920	0	0	13862174720	0	14032911384	0	12996084200	7755157048	13804503040	0	29908597672	0	0	0	0	0	0	10197401600	0	0	0	0	0	0
2026-02-02	0	0	0	0	15579210304	12672040960	0	0	0	0	0	0	0	0	0	0	566231040	0	0	0	0	13661361576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7596933120	0	0	0	0	0	0	0	0
2026-02-09	0	0	24789419644	0	24801436224	0	26086861880	12566835768	12625446988	790140856	0	0	0	1695928224	0	1557206224	1117844728	0	0	0	0	25117054376	900794592	24685957976	9758572856	24717900824	0	0	12337434168	0	19133361752	0	0	6207075768	0	24719408412	0	0	0	24721217416	0	0	10659709412	24739592128	0
2026-02-16	0	0	0	0	0	0	0	0	0	16786600	409600	819200	0	7812004	0	6485292	0	14575880	0	8270560	0	8521920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	791012	0	0
2026-02-23	0	0	0	600552	0	0	5428424	0	0	0	0	5413608	0	0	4913100	0	0	0	0	0	0	0	698592	0	0	0	4127004	0	0	0	0	0	0	0	0	5097016	0	0	4745284	0	0	0	0	5304456	0
2026-03-02	0	0	0	0	975424	0	0	4741972	0	0	10146728	0	5563512	0	0	0	4192512	0	7866152	4127004	4192512	0	0	0	5171768	998424	0	0	4061496	0	4569032	629672	642824	0	0	0	5092936	5403172	0	0	0	0	0	0	0
2026-03-09	5345296	0	5086988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5563652	0	0	0	0	0	4889688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5319340	0	0
2026-03-16	0	0	9760692	0	0	0	9826200	0	0	22862292	9826200	9433152	0	0	0	0	0	7074864	9105612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23451864	0	0	6223260	0	6419784	16377000	6681816	26727264	0	9760692
2026-03-23	0	6157752	0	0	0	0	0	0	0	0	0	589572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1464144	0	0	0	0	0	0	0	0	0	0	381412	0	0
2026-03-30	0	0	8319516	0	0	7336896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8524316	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-06	419460640	0	0	0	0	982620	1113636	10022724	1113636	1291495760	12512028	549863088	553220032	1222966976	1098049372	873776528	563624668	1106439296	0	1659649600	553230400	0	1093136272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655080	0	0
2026-04-13	0	0	5633688	0	0	0	0	8057484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9695184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
